# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.457982085917921555e-01 7.472340142963567258e-03
3.531299999999999883e+00 6.614065546517643446e-01 8.292198084920099355e-03
4.445700000000000429e+00 6.546306927999876457e-01 6.955759593072494487e-03
5.596799999999999997e+00 6.556849150522711112e-01 6.467416187196492819e-03
7.046000000000000263e+00 6.573727544716684301e-01 6.598476213106494945e-03
8.870300000000000296e+00 6.584880826193955095e-01 5.964828686212555672e-03
1.116699999999999982e+01 6.586408679348156880e-01 5.900515219497633017e-03
1.405899999999999928e+01 6.555108516925138851e-01 5.584191465240005009e-03
1.769900000000000162e+01 6.578798627026932744e-01 5.404921891380990752e-03
2.228099999999999881e+01 6.584402784132162845e-01 5.357204058238727168e-03
2.805000000000000071e+01 6.578100451163815254e-01 5.174489032713544545e-03
3.531300000000000239e+01 6.575371761734057907e-01 4.999772751458748943e-03
4.445700000000000074e+01 6.572925229386881174e-01 4.770817968849285634e-03
5.596800000000000352e+01 6.569798045608841175e-01 4.563198362330958720e-03
7.045999999999999375e+01 6.561193997144800782e-01 4.353002766910776984e-03
8.870300000000000296e+01 6.566652177400884582e-01 3.888857396790667068e-03
1.116700000000000017e+02 6.564621880647741881e-01 3.328114345887377406e-03
1.405900000000000034e+02 6.566907810472518703e-01 2.658049634422982900e-03
1.769900000000000091e+02 6.565169393996082015e-01 2.248448070696705981e-03
2.228100000000000023e+02 6.556820048065106210e-01 2.295580716554355104e-03
