# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.574576355483124912e-01 5.589985068556015471e-03
3.531299999999999883e+00 6.575272001596395022e-01 5.306527198911729221e-03
4.445700000000000429e+00 6.589059110422915699e-01 5.625854547996743914e-03
5.596799999999999997e+00 6.565019152081931209e-01 5.497623707202489371e-03
7.046000000000000263e+00 6.585983205212803115e-01 5.293783745308826630e-03
8.870300000000000296e+00 6.573952414674489875e-01 5.340396875414323355e-03
1.116699999999999982e+01 6.566473519917980228e-01 5.265103003201101854e-03
1.405899999999999928e+01 6.563595174625387330e-01 5.236054790186568490e-03
1.769900000000000162e+01 6.566870092625685107e-01 5.163971463398499967e-03
2.228099999999999881e+01 6.574907457398961874e-01 5.030489944029999105e-03
2.805000000000000071e+01 6.567537284596824954e-01 4.838541893014194732e-03
3.531300000000000239e+01 6.570466280492102129e-01 4.739808073445619246e-03
4.445700000000000074e+01 6.562292901961019886e-01 4.622157214106331624e-03
5.596800000000000352e+01 6.565546512307728344e-01 4.522139948476284164e-03
7.045999999999999375e+01 6.563471245831737910e-01 4.248817674212881923e-03
8.870300000000000296e+01 6.562873978025497435e-01 3.826778047516187463e-03
1.116700000000000017e+02 6.565839587695476709e-01 3.302334003811778669e-03
1.405900000000000034e+02 6.567847499830666846e-01 2.704055143214796272e-03
1.769900000000000091e+02 6.566994197929417743e-01 2.295873443799151432e-03
2.228100000000000023e+02 6.558806265885617215e-01 2.269897510593241619e-03
