## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8330e+00   1.0394e+00   2.2888e-03   1.1593e-03   2.4138e+04   1.5789e+05
  3.5313e+00   3.5660e+00   1.2696e+00   5.2685e-04   9.3864e-04   3.6824e+04   2.4072e+05
  4.4457e+00   4.4918e+00   1.5004e+00   7.2456e-04   7.5529e-04   5.6872e+04   3.6893e+05
  5.5968e+00   5.6530e+00   1.7303e+00   1.2517e-03   6.1307e-04   8.6319e+04   5.6559e+05
  7.0460e+00   7.1163e+00   1.9605e+00   4.1612e-04   4.9291e-04   1.3354e+05   8.7516e+05
  8.8703e+00   8.9639e+00   2.1913e+00   9.6758e-04   3.9672e-04   2.0613e+05   1.3533e+06
  1.1167e+01   1.1285e+01   2.4215e+00   1.5289e-03   3.1605e-04   3.2480e+05   2.1246e+06
  1.4059e+01   1.4197e+01   2.6511e+00   1.5006e-03   2.5549e-04   4.9702e+05   3.2353e+06
  1.7699e+01   1.7878e+01   2.8816e+00   1.3383e-03   2.0775e-04   7.5167e+05   4.9181e+06
  2.2281e+01   2.2503e+01   3.1117e+00   1.0331e-03   1.6742e-04   1.1575e+06   7.5827e+06
  2.8050e+01   2.8346e+01   3.3425e+00   1.0865e-03   1.3535e-04   1.7710e+06   1.1459e+07
  3.5313e+01   3.5661e+01   3.5721e+00   8.4344e-04   1.0981e-04   2.6904e+06   1.7395e+07
  4.4457e+01   4.4881e+01   3.8020e+00   1.0068e-03   8.9043e-05   4.0919e+06   2.6449e+07
  5.5968e+01   5.6490e+01   4.0321e+00   8.5437e-04   7.3291e-05   6.0397e+06   3.9165e+07
  7.0460e+01   7.1050e+01   4.2614e+00   6.7086e-04   6.1449e-05   8.5920e+06   5.6104e+07
  8.8703e+01   8.9434e+01   4.4915e+00   7.5039e-04   5.2331e-05   1.1847e+07   7.7501e+07
  1.1167e+02   1.1259e+02   4.7218e+00   5.7365e-04   4.4783e-05   1.6177e+07   1.0575e+08
  1.4059e+02   1.4194e+02   4.9534e+00   3.8827e-04   3.8111e-05   2.2337e+07   1.4512e+08
  1.7699e+02   1.7858e+02   5.1830e+00   2.6001e-04   3.1561e-05   3.2570e+07   2.1309e+08
  2.2281e+02   2.2458e+02   5.4122e+00  -6.0991e-05   2.6771e-05   4.5270e+07   2.9590e+08
