## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8316e+00   1.0390e+00   9.6267e-04   8.2771e-04   4.8261e+04   2.9679e+05
  3.5313e+00   3.5687e+00   1.2703e+00   4.5494e-04   6.6600e-04   7.4543e+04   4.5710e+05
  4.4457e+00   4.4914e+00   1.5003e+00   1.6195e-03   5.3592e-04   1.1512e+05   7.0568e+05
  5.5968e+00   5.6549e+00   1.7306e+00   1.5343e-04   4.2940e-04   1.7932e+05   1.0973e+06
  7.0460e+00   7.1185e+00   1.9608e+00   9.3137e-04   3.4449e-04   2.7861e+05   1.7014e+06
  8.8703e+00   8.9676e+00   2.1917e+00   1.9253e-04   2.7606e-04   4.3387e+05   2.6676e+06
  1.1167e+01   1.1285e+01   2.4216e+00   6.7437e-04   2.1871e-04   6.9124e+05   4.2331e+06
  1.4059e+01   1.4204e+01   2.6516e+00   5.7677e-04   1.7525e-04   1.0766e+06   6.6082e+06
  1.7699e+01   1.7891e+01   2.8823e+00   7.8412e-04   1.3993e-04   1.6886e+06   1.0331e+07
  2.2281e+01   2.2522e+01   3.1125e+00   6.2500e-04   1.1144e-04   2.6624e+06   1.6296e+07
  2.8050e+01   2.8355e+01   3.3428e+00   5.9760e-04   8.8884e-05   4.1850e+06   2.5626e+07
  3.5313e+01   3.5697e+01   3.5731e+00   6.4358e-04   7.0428e-05   6.6658e+06   4.0685e+07
  4.4457e+01   4.4949e+01   3.8035e+00   6.1153e-04   5.5907e-05   1.0578e+07   6.4570e+07
  5.5968e+01   5.6562e+01   4.0333e+00   6.3212e-04   4.4468e-05   1.6721e+07   1.0203e+08
  7.0460e+01   7.1243e+01   4.2641e+00   5.7320e-04   3.5345e-05   2.6466e+07   1.6112e+08
  8.8703e+01   8.9669e+01   4.4941e+00   4.8566e-04   2.8033e-05   4.2073e+07   2.5600e+08
  1.1167e+02   1.1289e+02   4.7244e+00   4.7251e-04   2.2397e-05   6.5913e+07   4.0185e+08
  1.4059e+02   1.4204e+02   4.9541e+00   4.3773e-04   1.8002e-05   1.0203e+08   6.2311e+08
  1.7699e+02   1.7880e+02   5.1843e+00   4.0704e-04   1.4544e-05   1.5631e+08   9.5840e+08
  2.2281e+02   2.2469e+02   5.4127e+00   3.2363e-04   1.2006e-05   2.2938e+08   1.4090e+09
