## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8314e+00   1.0389e+00   1.0049e-03  -6.3392e-05   1.0716e-03   2.9110e+04   1.6309e+05
  3.5313e+00   3.5665e+00   1.2697e+00   7.8196e-04   1.4460e-04   8.6172e-04   4.5016e+04   2.5190e+05
  4.4457e+00   4.4902e+00   1.5000e+00   4.8670e-04   5.4441e-04   6.9383e-04   6.9438e+04   3.8793e+05
  5.5968e+00   5.6558e+00   1.7308e+00   4.5664e-04   7.0638e-04   5.5953e-04   1.0677e+05   5.9819e+05
  7.0460e+00   7.1162e+00   1.9605e+00  -3.0055e-05  -5.0427e-04   4.4820e-04   1.6640e+05   9.2769e+05
  8.8703e+00   8.9624e+00   2.1911e+00   2.9899e-04   4.1726e-05   3.6079e-04   2.5679e+05   1.4298e+06
  1.1167e+01   1.1280e+01   2.4211e+00   1.7461e-04   5.5082e-04   2.8922e-04   3.9962e+05   2.2337e+06
  1.4059e+01   1.4203e+01   2.6515e+00   2.9268e-04   1.1437e-04   2.3317e-04   6.1482e+05   3.4541e+06
  1.7699e+01   1.7885e+01   2.8820e+00   1.6499e-04  -5.5881e-05   1.8750e-04   9.5078e+05   5.3310e+06
  2.2281e+01   2.2502e+01   3.1117e+00   4.1465e-05  -1.0866e-05   1.5050e-04   1.4758e+06   8.2923e+06
  2.8050e+01   2.8341e+01   3.3423e+00  -9.7548e-05  -1.1983e-04   1.2176e-04   2.2549e+06   1.2636e+07
  3.5313e+01   3.5664e+01   3.5722e+00  -1.8962e-04  -2.0742e-04   9.8345e-05   3.4562e+06   1.9325e+07
  4.4457e+01   4.4891e+01   3.8022e+00  -8.0589e-05  -1.5132e-04   8.0379e-05   5.1738e+06   2.9038e+07
  5.5968e+01   5.6490e+01   4.0321e+00  -3.1119e-05  -1.6899e-04   6.5921e-05   7.6923e+06   4.3092e+07
  7.0460e+01   7.1093e+01   4.2620e+00  -3.1466e-05  -9.9205e-05   5.5015e-05   1.1044e+07   6.2038e+07
  8.8703e+01   8.9447e+01   4.4917e+00  -1.8637e-04  -1.0886e-04   4.6538e-05   1.5434e+07   8.6865e+07
  1.1167e+02   1.1253e+02   4.7212e+00  -4.3868e-04   1.7198e-04   3.9830e-05   2.1071e+07   1.1867e+08
  1.4059e+02   1.4137e+02   4.9493e+00  -5.5755e-04   4.5552e-04   3.5531e-05   2.6479e+07   1.4920e+08
  1.7699e+02   1.7753e+02   5.1771e+00  -4.6931e-04   3.8905e-04   3.3808e-05   2.9247e+07   1.6646e+08
  2.2281e+02   2.2331e+02   5.4064e+00   1.4232e-04   3.7227e-04   3.3801e-05   2.9258e+07   1.6680e+08
