## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8327e+00   1.0393e+00   6.5041e-01   6.2879e-04   1.6864e+06   1.6864e+06
  3.5313e+00   3.5673e+00   1.2699e+00   6.5060e-01   5.0768e-04   2.5870e+06   2.5870e+06
  4.4457e+00   4.4914e+00   1.5003e+00   6.4999e-01   4.0811e-04   4.0034e+06   4.0034e+06
  5.5968e+00   5.6552e+00   1.7307e+00   6.5027e-01   3.2779e-04   6.2056e+06   6.2056e+06
  7.0460e+00   7.1193e+00   1.9609e+00   6.5006e-01   2.6326e-04   9.6207e+06   9.6207e+06
  8.8703e+00   8.9688e+00   2.1918e+00   6.5051e-01   2.1030e-04   1.5076e+07   1.5076e+07
  1.1167e+01   1.1284e+01   2.4214e+00   6.5040e-01   1.6652e-04   2.4045e+07   2.4045e+07
  1.4059e+01   1.4207e+01   2.6518e+00   6.5025e-01   1.3340e-04   3.7466e+07   3.7466e+07
  1.7699e+01   1.7895e+01   2.8825e+00   6.5013e-01   1.0647e-04   5.8818e+07   5.8818e+07
  2.2281e+01   2.2519e+01   3.1124e+00   6.5001e-01   8.4215e-05   9.4015e+07   9.4015e+07
  2.8050e+01   2.8363e+01   3.3431e+00   6.4989e-01   6.7044e-05   1.4834e+08   1.4834e+08
  3.5313e+01   3.5696e+01   3.5730e+00   6.4984e-01   5.3218e-05   2.3543e+08   2.3543e+08
  4.4457e+01   4.4932e+01   3.8031e+00   6.4975e-01   4.2313e-05   3.7242e+08   3.7242e+08
  5.5968e+01   5.6575e+01   4.0335e+00   6.4939e-01   3.3756e-05   5.8515e+08   5.8515e+08
  7.0460e+01   7.1225e+01   4.2638e+00   6.4901e-01   2.6877e-05   9.2302e+08   9.2302e+08
  8.8703e+01   8.9663e+01   4.4940e+00   6.4852e-01   2.1443e-05   1.4501e+09   1.4501e+09
  1.1167e+02   1.1288e+02   4.7243e+00   6.4831e-01   1.7064e-05   2.2900e+09   2.2900e+09
  1.4059e+02   1.4208e+02   4.9543e+00   6.4843e-01   1.3699e-05   3.5529e+09   3.5529e+09
  1.7699e+02   1.7879e+02   5.1842e+00   6.4817e-01   1.1074e-05   5.4367e+09   5.4367e+09
  2.2281e+02   2.2470e+02   5.4127e+00   6.4784e-01   9.1255e-06   8.0069e+09   8.0069e+09
