## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8330e+00   1.0394e+00   4.3982e-04   1.3188e-04   1.8890e+06   1.8890e+06
  3.5313e+00   3.5683e+00   1.2702e+00   2.0037e-04   1.0595e-04   2.9272e+06   2.9272e+06
  4.4457e+00   4.4920e+00   1.5004e+00   8.0293e-05   8.4864e-05   4.5622e+06   4.5622e+06
  5.5968e+00   5.6553e+00   1.7307e+00   1.7728e-04   6.8063e-05   7.0926e+06   7.0926e+06
  7.0460e+00   7.1194e+00   1.9609e+00   9.6344e-05   5.4643e-05   1.1004e+07   1.1004e+07
  8.8703e+00   8.9674e+00   2.1917e+00   1.7178e-04   4.3627e-05   1.7263e+07   1.7263e+07
  1.1167e+01   1.1285e+01   2.4215e+00   1.4453e-04   3.4650e-05   2.7367e+07   2.7367e+07
  1.4059e+01   1.4208e+01   2.6519e+00   1.0375e-04   2.7700e-05   4.2821e+07   4.2821e+07
  1.7699e+01   1.7892e+01   2.8824e+00   8.2605e-05   2.2084e-05   6.7367e+07   6.7367e+07
  2.2281e+01   2.2517e+01   3.1123e+00   3.9620e-05   1.7555e-05   1.0662e+08   1.0662e+08
  2.8050e+01   2.8358e+01   3.3429e+00   3.6897e-05   1.4010e-05   1.6740e+08   1.6740e+08
  3.5313e+01   3.5695e+01   3.5730e+00   1.3003e-04   1.1131e-05   2.6517e+08   2.6517e+08
  4.4457e+01   4.4940e+01   3.8033e+00   2.1266e-04   8.8689e-06   4.1772e+08   4.1772e+08
  5.5968e+01   5.6577e+01   4.0336e+00   2.5285e-04   7.0353e-06   6.6382e+08   6.6382e+08
  7.0460e+01   7.1241e+01   4.2640e+00   2.0868e-04   5.5808e-06   1.0549e+09   1.0549e+09
  8.8703e+01   8.9691e+01   4.4943e+00   2.6087e-04   4.4225e-06   1.6799e+09   1.6799e+09
  1.1167e+02   1.1295e+02   4.7249e+00   2.3138e-04   3.4797e-06   2.7135e+09   2.7135e+09
  1.4059e+02   1.4217e+02   4.9550e+00   1.2681e-04   2.7449e-06   4.3609e+09   4.3609e+09
  1.7699e+02   1.7902e+02   5.1855e+00  -7.3468e-05   2.1564e-06   7.0660e+09   7.0660e+09
  2.2281e+02   2.2490e+02   5.4137e+00  -2.2519e-04   1.7425e-06   1.0821e+10   1.0821e+10
