## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8305e+00   1.0385e+00  -2.6095e-03   2.6146e-04   4.7861e+05   4.7861e+05
  3.5313e+00   3.5649e+00   1.2692e+00  -2.4503e-03   2.1535e-04   7.0554e+05   7.0554e+05
  4.4457e+00   4.4872e+00   1.4993e+00  -2.7873e-03   1.7715e-04   1.0426e+06   1.0426e+06
  5.5968e+00   5.6495e+00   1.7296e+00  -3.2552e-03   1.4593e-04   1.5363e+06   1.5363e+06
  7.0460e+00   7.1143e+00   1.9602e+00  -3.3394e-03   1.2006e-04   2.2700e+06   2.2700e+06
  8.8703e+00   8.9728e+00   2.1922e+00  -3.2416e-03   9.6560e-05   3.5092e+06   3.5092e+06
  1.1167e+01   1.1279e+01   2.4210e+00  -3.0101e-03   7.6172e-05   5.6392e+06   5.6392e+06
  1.4059e+01   1.4191e+01   2.6506e+00  -2.9175e-03   6.2436e-05   8.3933e+06   8.3933e+06
  1.7699e+01   1.7904e+01   2.8830e+00  -3.0440e-03   5.0431e-05   1.2865e+07   1.2865e+07
  2.2281e+01   2.2490e+01   3.1111e+00  -3.1198e-03   3.9820e-05   2.0635e+07   2.0635e+07
  2.8050e+01   2.8366e+01   3.3432e+00  -2.9928e-03   3.2532e-05   3.0917e+07   3.0917e+07
  3.5313e+01   3.5665e+01   3.5721e+00  -2.6659e-03   2.6168e-05   4.7781e+07   4.7781e+07
  4.4457e+01   4.4927e+01   3.8030e+00  -2.6200e-03   2.0881e-05   7.5039e+07   7.5039e+07
  5.5968e+01   5.6558e+01   4.0332e+00  -2.5008e-03   1.6688e-05   1.1749e+08   1.1749e+08
  7.0460e+01   7.1162e+01   4.2629e+00  -2.0894e-03   1.3437e-05   1.8122e+08   1.8122e+08
  8.8703e+01   8.9558e+01   4.4929e+00  -1.5577e-03   1.0994e-05   2.7071e+08   2.7071e+08
  1.1167e+02   1.1281e+02   4.7237e+00  -1.2368e-03   8.9905e-06   4.0480e+08   4.0480e+08
  1.4059e+02   1.4198e+02   4.9537e+00  -5.5768e-04   7.3400e-06   6.0731e+08   6.0731e+08
  1.7699e+02   1.7872e+02   5.1838e+00  -1.0398e-04   6.0135e-06   9.0479e+08   9.0479e+08
  2.2281e+02   2.2442e+02   5.4115e+00   1.5883e-05   5.1018e-06   1.2570e+09   1.2570e+09
