## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8322e+00   1.0391e+00   1.2012e-03  -6.9694e-04   1.9647e-03   8.6040e+03   8.6040e+03
  3.5313e+00   3.5685e+00   1.2702e+00   4.8924e-03  -2.2866e-03   1.6109e-03   1.2798e+04   1.2798e+04
  4.4457e+00   4.4892e+00   1.4998e+00   2.5433e-03  -1.1426e-03   1.3059e-03   1.9473e+04   1.9473e+04
  5.5968e+00   5.6492e+00   1.7296e+00  -1.1264e-04  -1.5908e-03   1.0649e-03   2.9286e+04   2.9286e+04
  7.0460e+00   7.1162e+00   1.9604e+00  -5.3907e-04  -1.5847e-03   8.7396e-04   4.3480e+04   4.3480e+04
  8.8703e+00   8.9651e+00   2.1914e+00  -3.6938e-04  -6.2303e-04   7.0088e-04   6.7605e+04   6.7605e+04
  1.1167e+01   1.1245e+01   2.4180e+00   4.2898e-04   1.1301e-03   5.7966e-04   9.8837e+04   9.8837e+04
  1.4059e+01   1.4162e+01   2.6486e+00  -7.0860e-04   2.2852e-03   5.0806e-04   1.2866e+05   1.2866e+05
  1.7699e+01   1.7840e+01   2.8794e+00  -1.9743e-03   3.2211e-03   4.4100e-04   1.7076e+05   1.7076e+05
  2.2281e+01   2.2381e+01   3.1062e+00  -2.1527e-03   3.0929e-03   4.0209e-04   2.0541e+05   2.0541e+05
  2.8050e+01   2.8310e+01   3.3412e+00  -1.1857e-03  -2.5732e-04   3.5543e-04   2.6288e+05   2.6288e+05
  3.5313e+01   3.5676e+01   3.5724e+00  -2.5676e-03   1.7666e-04   2.9975e-04   3.6962e+05   3.6962e+05
  4.4457e+01   4.4853e+01   3.8013e+00  -1.0309e-03   4.7126e-03   2.4101e-04   5.7176e+05   5.7176e+05
  5.5968e+01   5.6675e+01   4.0352e+00  -1.4009e-03   3.5949e-03   2.0837e-04   7.6487e+05   7.6487e+05
  7.0460e+01   7.1652e+01   4.2699e+00  -2.8484e-04   1.8948e-03   1.3976e-04   1.7001e+06   1.7001e+06
  8.8703e+01   8.9790e+01   4.4955e+00   5.1273e-04   2.3805e-04   1.0152e-04   3.2224e+06   3.2224e+06
  1.1167e+02   1.1387e+02   4.7331e+00   2.5218e-03   1.1544e-03   7.2131e-05   6.3831e+06   6.3831e+06
  1.4059e+02   1.4200e+02   4.9538e+00  -3.0650e-04   1.8054e-03   5.1030e-05   1.2753e+07   1.2753e+07
  1.7699e+02   1.7594e+02   5.1680e+00   1.2099e-03   4.8925e-04   4.9108e-05   1.3771e+07   1.3771e+07
  2.2281e+02   2.1867e+02   5.3854e+00   7.1822e-04  -1.6516e-03   7.3757e-05   6.1046e+06   6.1046e+06
