## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8322e+00   1.0392e+00   6.4876e-01   1.1038e-03   5.5723e+05   5.5723e+05
  3.5313e+00   3.5673e+00   1.2699e+00   6.4811e-01   8.9074e-04   8.5562e+05   8.5562e+05
  4.4457e+00   4.4916e+00   1.5003e+00   6.4830e-01   7.1641e-04   1.3227e+06   1.3227e+06
  5.5968e+00   5.6537e+00   1.7304e+00   6.4885e-01   5.7650e-04   2.0427e+06   2.0427e+06
  7.0460e+00   7.1155e+00   1.9604e+00   6.4847e-01   4.6710e-04   3.1115e+06   3.1115e+06
  8.8703e+00   8.9674e+00   2.1917e+00   6.4845e-01   3.7592e-04   4.8040e+06   4.8040e+06
  1.1167e+01   1.1281e+01   2.4212e+00   6.4862e-01   2.9832e-04   7.6281e+06   7.6281e+06
  1.4059e+01   1.4208e+01   2.6518e+00   6.4844e-01   2.3965e-04   1.1820e+07   1.1820e+07
  1.7699e+01   1.7895e+01   2.8825e+00   6.4784e-01   1.9139e-04   1.8532e+07   1.8532e+07
  2.2281e+01   2.2517e+01   3.1123e+00   6.4794e-01   1.5137e-04   2.9629e+07   2.9629e+07
  2.8050e+01   2.8362e+01   3.3431e+00   6.4778e-01   1.2065e-04   4.6633e+07   4.6633e+07
  3.5313e+01   3.5693e+01   3.5730e+00   6.4767e-01   9.5874e-05   7.3856e+07   7.3856e+07
  4.4457e+01   4.4939e+01   3.8033e+00   6.4763e-01   7.6259e-05   1.1674e+08   1.1674e+08
  5.5968e+01   5.6590e+01   4.0338e+00   6.4841e-01   6.0334e-05   1.8650e+08   1.8650e+08
  7.0460e+01   7.1251e+01   4.2642e+00   6.4875e-01   4.7720e-05   2.9812e+08   2.9812e+08
  8.8703e+01   8.9727e+01   4.4948e+00   6.4935e-01   3.7504e-05   4.8264e+08   4.8264e+08
  1.1167e+02   1.1302e+02   4.7255e+00   6.4999e-01   2.9339e-05   7.8870e+08   7.8870e+08
  1.4059e+02   1.4217e+02   4.9550e+00   6.4985e-01   2.2940e-05   1.2900e+09   1.2900e+09
  1.7699e+02   1.7890e+02   5.1848e+00   6.4879e-01   1.8169e-05   2.0565e+09   2.0565e+09
  2.2281e+02   2.2487e+02   5.4135e+00   6.4769e-01   1.4859e-05   3.0747e+09   3.0747e+09
