## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8302e+00   1.0384e+00   1.1084e-03   4.8215e-04   1.4243e+05   1.4243e+05
  3.5313e+00   3.5649e+00   1.2693e+00   1.0665e-03   3.9664e-04   2.1046e+05   2.1046e+05
  4.4457e+00   4.4866e+00   1.4992e+00   1.0750e-03   3.2809e-04   3.0759e+05   3.0759e+05
  5.5968e+00   5.6504e+00   1.7298e+00   9.7060e-04   2.7228e-04   4.4662e+05   4.4662e+05
  7.0460e+00   7.1155e+00   1.9604e+00   8.3329e-04   2.2253e-04   6.6863e+05   6.6863e+05
  8.8703e+00   8.9690e+00   2.1918e+00   4.9449e-04   1.8015e-04   1.0202e+06   1.0202e+06
  1.1167e+01   1.1272e+01   2.4204e+00   9.3754e-04   1.4339e-04   1.6104e+06   1.6104e+06
  1.4059e+01   1.4189e+01   2.6505e+00   1.1194e-03   1.1830e-04   2.3660e+06   2.3660e+06
  1.7699e+01   1.7900e+01   2.8828e+00   1.3221e-03   9.5917e-05   3.5989e+06   3.5989e+06
  2.2281e+01   2.2481e+01   3.1107e+00   1.4953e-03   7.6855e-05   5.6056e+06   5.6056e+06
  2.8050e+01   2.8366e+01   3.3432e+00   1.5467e-03   6.3060e-05   8.3262e+06   8.3262e+06
  3.5313e+01   3.5671e+01   3.5723e+00   1.3126e-03   5.0934e-05   1.2763e+07   1.2763e+07
  4.4457e+01   4.4918e+01   3.8028e+00   1.4084e-03   4.0833e-05   1.9858e+07   1.9858e+07
  5.5968e+01   5.6568e+01   4.0334e+00   1.0454e-03   3.2391e-05   3.1558e+07   3.1558e+07
  7.0460e+01   7.1172e+01   4.2631e+00   1.1037e-03   2.6172e-05   4.8337e+07   4.8337e+07
  8.8703e+01   8.9603e+01   4.4934e+00   1.0592e-03   2.1189e-05   7.3746e+07   7.3746e+07
  1.1167e+02   1.1289e+02   4.7244e+00   7.6472e-04   1.7018e-05   1.1433e+08   1.1433e+08
  1.4059e+02   1.4196e+02   4.9535e+00   4.2473e-04   1.3763e-05   1.7481e+08   1.7481e+08
  1.7699e+02   1.7855e+02   5.1828e+00   4.0251e-04   1.1356e-05   2.5676e+08   2.5676e+08
  2.2281e+02   2.2486e+02   5.4134e+00   3.0552e-04   9.5503e-06   3.6301e+08   3.6301e+08
