## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8292e+00   1.0381e+00   4.1935e-03   7.9100e-04   5.2882e+04   5.2882e+04
  3.5313e+00   3.5648e+00   1.2692e+00   4.0527e-03   6.5207e-04   7.7817e+04   7.7817e+04
  4.4457e+00   4.4908e+00   1.5001e+00   4.2415e-03   5.3215e-04   1.1684e+05   1.1684e+05
  5.5968e+00   5.6478e+00   1.7294e+00   5.3161e-03   4.3584e-04   1.7419e+05   1.7419e+05
  7.0460e+00   7.1105e+00   1.9597e+00   5.4211e-03   3.6070e-04   2.5431e+05   2.5431e+05
  8.8703e+00   8.9679e+00   2.1917e+00   5.2041e-03   2.9573e-04   3.7832e+05   3.7832e+05
  1.1167e+01   1.1270e+01   2.4202e+00   4.8233e-03   2.3665e-04   5.9081e+05   5.9081e+05
  1.4059e+01   1.4183e+01   2.6501e+00   5.0396e-03   1.9831e-04   8.4130e+05   8.4130e+05
  1.7699e+01   1.7885e+01   2.8820e+00   4.7524e-03   1.6510e-04   1.2138e+06   1.2138e+06
  2.2281e+01   2.2494e+01   3.1113e+00   5.1262e-03   1.3142e-04   1.9157e+06   1.9157e+06
  2.8050e+01   2.8347e+01   3.3425e+00   4.6262e-03   1.0847e-04   2.8122e+06   2.8122e+06
  3.5313e+01   3.5624e+01   3.5710e+00   4.1848e-03   8.8817e-05   4.1944e+06   4.1944e+06
  4.4457e+01   4.4779e+01   3.7997e+00   3.2140e-03   7.5715e-05   5.7717e+06   5.7717e+06
  5.5968e+01   5.6439e+01   4.0311e+00   2.3124e-03   6.4780e-05   7.8846e+06   7.8846e+06
  7.0460e+01   7.0929e+01   4.2597e+00   1.5357e-03   5.6278e-05   1.0447e+07   1.0447e+07
  8.8703e+01   8.9275e+01   4.4897e+00   1.0650e-03   4.9810e-05   1.3336e+07   1.3336e+07
  1.1167e+02   1.1290e+02   4.7244e+00   1.8284e-04   4.1420e-05   1.9286e+07   1.9286e+07
  1.4059e+02   1.4312e+02   4.9617e+00  -1.0259e-03   2.9518e-05   3.7974e+07   3.7974e+07
  1.7699e+02   1.7959e+02   5.1886e+00  -1.1545e-03   2.0127e-05   8.1681e+07   8.1681e+07
  2.2281e+02   2.2400e+02   5.4096e+00  -1.3264e-03   1.5955e-05   1.2997e+08   1.2997e+08
