## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8303e+00   1.0385e+00   2.8520e-05   1.5539e-04   5.1444e-04   1.2444e+05   1.2444e+05
  3.5313e+00   3.5657e+00   1.2695e+00  -1.9908e-04  -6.6709e-04   4.2330e-04   1.8379e+05   1.8379e+05
  4.4457e+00   4.4911e+00   1.5002e+00   2.3877e-04  -3.4822e-04   3.4417e-04   2.7802e+05   2.7802e+05
  5.5968e+00   5.6479e+00   1.7294e+00  -2.0115e-04   8.1075e-05   2.8132e-04   4.1612e+05   4.1612e+05
  7.0460e+00   7.1087e+00   1.9594e+00   2.6868e-04  -3.6101e-04   2.3402e-04   6.0134e+05   6.0134e+05
  8.8703e+00   8.9665e+00   2.1916e+00  -8.4418e-05   6.2820e-05   1.9257e-04   8.8809e+05   8.8809e+05
  1.1167e+01   1.1268e+01   2.4200e+00  -2.2344e-04   1.5904e-04   1.5433e-04   1.3828e+06   1.3828e+06
  1.4059e+01   1.4192e+01   2.6507e+00  -1.1852e-06   3.6502e-04   1.2863e-04   1.9905e+06   1.9905e+06
  1.7699e+01   1.7889e+01   2.8822e+00   6.4697e-05   1.4711e-04   1.0552e-04   2.9580e+06   2.9580e+06
  2.2281e+01   2.2499e+01   3.1115e+00   9.1910e-05   1.4711e-04   8.3726e-05   4.6979e+06   4.6979e+06
  2.8050e+01   2.8355e+01   3.3428e+00   1.4098e-04   2.2195e-05   6.7801e-05   7.1639e+06   7.1639e+06
  3.5313e+01   3.5643e+01   3.5716e+00  -1.9561e-04  -5.4723e-06   5.4898e-05   1.0927e+07   1.0927e+07
  4.4457e+01   4.4895e+01   3.8023e+00   1.3076e-05  -1.0163e-04   4.5053e-05   1.6225e+07   1.6225e+07
  5.5968e+01   5.6542e+01   4.0330e+00  -2.0500e-04  -2.6926e-04   3.6552e-05   2.4650e+07   2.4650e+07
  7.0460e+01   7.1180e+01   4.2632e+00  -2.1008e-04  -8.3987e-05   2.9662e-05   3.7431e+07   3.7431e+07
  8.8703e+01   8.9591e+01   4.4933e+00   1.1479e-05  -3.4995e-04   2.4160e-05   5.6421e+07   5.6421e+07
  1.1167e+02   1.1286e+02   4.7241e+00   4.1748e-06  -3.7885e-04   1.9209e-05   8.9248e+07   8.9248e+07
  1.4059e+02   1.4203e+02   4.9540e+00   4.4748e-05  -2.8124e-04   1.5567e-05   1.3590e+08   1.3590e+08
  1.7699e+02   1.7874e+02   5.1839e+00   1.4296e-06  -8.1027e-05   1.2686e-05   2.0462e+08   2.0462e+08
  2.2281e+02   2.2441e+02   5.4114e+00   1.0288e-04   3.8524e-05   1.0789e-05   2.8294e+08   2.8294e+08
