## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 579744685.5083767}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8336e+00   1.0397e+00   3.9675e-02   4.7590e-03   2.2302e+04   2.1451e+04   1.1883e+05
  3.5313e+00   3.5678e+00   1.2701e+00   3.6710e-02   3.8663e-03   3.3694e+04   3.2501e+04   1.8043e+05
  4.4457e+00   4.4907e+00   1.5001e+00   1.3837e-02   3.1058e-03   5.1063e+04   5.0366e+04   2.7461e+05
  5.5968e+00   5.6561e+00   1.7308e+00   1.4056e-02   2.4986e-03   7.8916e+04   7.7822e+04   4.2385e+05
  7.0460e+00   7.1173e+00   1.9606e+00   2.1974e-02   2.0253e-03   1.2105e+05   1.1845e+05   6.4715e+05
  8.8703e+00   8.9674e+00   2.1917e+00   2.5069e-02   1.6255e-03   1.8847e+05   1.8386e+05   1.0048e+06
  1.1167e+01   1.1283e+01   2.4214e+00   2.1474e-02   1.2847e-03   3.0067e+05   2.9435e+05   1.5948e+06
  1.4059e+01   1.4209e+01   2.6519e+00   1.7221e-02   1.0329e-03   4.6320e+05   4.5536e+05   2.4525e+06
  1.7699e+01   1.7879e+01   2.8817e+00   1.2101e-02   8.3176e-04   7.1074e+05   7.0224e+05   3.7755e+06
  2.2281e+01   2.2514e+01   3.1122e+00   1.5660e-02   6.6263e-04   1.1238e+06   1.1065e+06   5.9822e+06
  2.8050e+01   2.8364e+01   3.3432e+00   1.0172e-02   5.3068e-04   1.7427e+06   1.7251e+06   9.3211e+06
  3.5313e+01   3.5692e+01   3.5729e+00   1.5954e-02   4.2222e-04   2.7688e+06   2.7253e+06   1.4717e+07
  4.4457e+01   4.4946e+01   3.8035e+00   1.1237e-02   3.3439e-04   4.3938e+06   4.3449e+06   2.3445e+07
  5.5968e+01   5.6590e+01   4.0338e+00   5.2174e-03   2.6423e-04   6.9951e+06   6.9588e+06   3.7553e+07
  7.0460e+01   7.1207e+01   4.2636e+00  -4.1962e-04   2.0932e-04   1.1083e+07   1.1088e+07   5.9802e+07
  8.8703e+01   8.9655e+01   4.4940e+00  -2.4795e-05   1.6688e-04   1.7445e+07   1.7445e+07   9.3727e+07
  1.1167e+02   1.1295e+02   4.7250e+00   1.9931e-04   1.3242e-04   2.7713e+07   2.7708e+07   1.4846e+08
  1.4059e+02   1.4217e+02   4.9551e+00   8.1244e-03   1.0472e-04   4.4662e+07   4.4302e+07   2.3951e+08
  1.7699e+02   1.7903e+02   5.1856e+00   1.0500e-02   8.2106e-05   7.2824e+07   7.2067e+07   3.9313e+08
  2.2281e+02   2.2464e+02   5.4125e+00  -1.2440e-02   6.6051e-05   1.0997e+08   1.1136e+08   6.0327e+08
