## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8279e+00   1.0376e+00   2.2959e-04   2.4795e-03   5.2393e+03   3.2057e+04
  3.5313e+00   3.5624e+00   1.2686e+00   4.9082e-04   2.0666e-03   7.5422e+03   4.6666e+04
  4.4457e+00   4.4903e+00   1.5000e+00   5.7736e-04   1.7347e-03   1.0704e+04   6.7903e+04
  5.5968e+00   5.6447e+00   1.7288e+00  -4.9279e-06   1.4379e-03   1.5578e+04   9.9597e+04
  7.0460e+00   7.1067e+00   1.9591e+00   4.2365e-04   1.2021e-03   2.2292e+04   1.4146e+05
  8.8703e+00   8.9846e+00   2.1936e+00  -1.9625e-04   9.6211e-04   3.4798e+04   2.1513e+05
  1.1167e+01   1.1276e+01   2.4207e+00  -3.9740e-04   7.4396e-04   5.8198e+04   3.4522e+05
  1.4059e+01   1.4184e+01   2.6502e+00   3.2894e-04   6.2034e-04   8.3705e+04   5.0125e+05
  1.7699e+01   1.7901e+01   2.8829e+00  -4.2029e-04   5.1222e-04   1.2277e+05   7.4461e+05
  2.2281e+01   2.2474e+01   3.1104e+00   2.1677e-04   4.0848e-04   1.9305e+05   1.1721e+06
  2.8050e+01   2.8359e+01   3.3429e+00   4.1724e-04   3.3531e-04   2.8649e+05   1.7276e+06
  3.5313e+01   3.5664e+01   3.5721e+00  -7.1915e-05   2.6967e-04   4.4293e+05   2.6910e+06
  4.4457e+01   4.4884e+01   3.8021e+00  -1.2483e-04   2.1813e-04   6.7696e+05   4.1272e+06
  5.5968e+01   5.6609e+01   4.0342e+00  -3.3625e-04   1.7421e-04   1.0614e+06   6.4187e+06
  7.0460e+01   7.1160e+01   4.2629e+00  -5.7906e-04   1.4040e-04   1.6341e+06   9.7661e+06
  8.8703e+01   8.9606e+01   4.4934e+00  -1.7817e-04   1.1390e-04   2.4829e+06   1.5085e+07
  1.1167e+02   1.1297e+02   4.7251e+00   2.6823e-04   9.2531e-05   3.7621e+06   2.2791e+07
  1.4059e+02   1.4193e+02   4.9533e+00   2.5463e-04   7.5478e-05   5.6541e+06   3.3813e+07
  1.7699e+02   1.7872e+02   5.1838e+00   3.7889e-04   6.2313e-05   8.2955e+06   5.0849e+07
  2.2281e+02   2.2517e+02   5.4148e+00   8.5240e-05   5.1288e-05   1.2245e+07   7.6378e+07
