## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8292e+00   1.0380e+00   2.5736e-03   1.8536e-03   9.3530e+03   5.7583e+04
  3.5313e+00   3.5644e+00   1.2691e+00   9.6894e-04   1.5200e-03   1.3909e+04   8.3865e+04
  4.4457e+00   4.4862e+00   1.4991e+00   1.7055e-04   1.2659e-03   2.0053e+04   1.2189e+05
  5.5968e+00   5.6481e+00   1.7294e+00   1.7658e-04   1.0620e-03   2.8496e+04   1.7660e+05
  7.0460e+00   7.1153e+00   1.9604e+00   8.0352e-04   8.6953e-04   4.2503e+04   2.6214e+05
  8.8703e+00   8.9818e+00   2.1933e+00  -6.4182e-05   6.9213e-04   6.7084e+04   4.1794e+05
  1.1167e+01   1.1281e+01   2.4212e+00  -3.4920e-04   5.3298e-04   1.1313e+05   7.0086e+05
  1.4059e+01   1.4191e+01   2.6507e+00  -4.0819e-04   4.3186e-04   1.7231e+05   1.0597e+06
  1.7699e+01   1.7909e+01   2.8833e+00  -1.0939e-04   3.4803e-04   2.6532e+05   1.6345e+06
  2.2281e+01   2.2485e+01   3.1109e+00   2.5755e-04   2.7456e-04   4.2631e+05   2.6275e+06
  2.8050e+01   2.8412e+01   3.3448e+00   5.7443e-04   2.1947e-04   6.6717e+05   4.1035e+06
  3.5313e+01   3.5659e+01   3.5720e+00  -2.4456e-04   1.7402e-04   1.0611e+06   6.5241e+06
  4.4457e+01   4.4929e+01   3.8031e+00   2.8199e-04   1.3754e-04   1.6987e+06   1.0395e+07
  5.5968e+01   5.6548e+01   4.0331e+00   3.7804e-04   1.1101e-04   2.6079e+06   1.6205e+07
  7.0460e+01   7.1240e+01   4.2640e+00   6.7485e-04   8.8899e-05   4.0663e+06   2.5339e+07
  8.8703e+01   8.9580e+01   4.4931e+00   3.5760e-04   7.0534e-05   6.4595e+06   4.0113e+07
  1.1167e+02   1.1290e+02   4.7245e+00   3.1873e-04   5.6494e-05   1.0069e+07   6.2533e+07
  1.4059e+02   1.4200e+02   4.9539e+00   8.2686e-05   4.5708e-05   1.5382e+07   9.5228e+07
  1.7699e+02   1.7879e+02   5.1842e+00   1.0100e-04   3.6878e-05   2.3630e+07   1.4615e+08
  2.2281e+02   2.2457e+02   5.4122e+00  -3.6186e-05   3.0217e-05   3.5195e+07   2.1748e+08
