# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.033341431945837163e+00 3.191146551894778749e-03
3.531299999999999883e+00 1.028642896816411412e+00 3.403889711058205592e-03
4.445700000000000429e+00 1.024934585204341220e+00 3.551991021502207569e-03
5.596799999999999997e+00 1.020457015905777753e+00 3.723705161062776728e-03
7.046000000000000263e+00 1.017976658320965289e+00 3.619801000611319770e-03
8.870300000000000296e+00 1.015319848496053057e+00 3.505756752217546995e-03
1.116699999999999982e+01 1.011976085483046850e+00 3.316391972148881925e-03
1.405899999999999928e+01 1.008783741522618849e+00 3.136680533825348272e-03
1.769900000000000162e+01 1.007250416945842497e+00 2.997140539223460288e-03
2.228099999999999881e+01 1.006686375765558195e+00 2.788710946318985213e-03
2.805000000000000071e+01 1.004864232337092878e+00 2.753427575270310686e-03
3.531300000000000239e+01 1.002936996567770800e+00 2.641125710140933280e-03
4.445700000000000074e+01 1.002270338388200566e+00 2.509013074692562507e-03
5.596800000000000352e+01 1.002470368420163904e+00 2.318261038458818007e-03
7.045999999999999375e+01 1.002475635532957376e+00 2.112818355365063145e-03
8.870300000000000296e+01 1.002642952923048059e+00 2.029525874862667025e-03
1.116700000000000017e+02 1.001297087704251076e+00 1.825812143462811734e-03
1.405900000000000034e+02 1.000196678139688267e+00 1.709641997015848161e-03
1.769900000000000091e+02 1.000345682436793338e+00 1.564832353556272525e-03
2.228100000000000023e+02 9.990143867803576994e-01 1.751503078317490254e-03
