# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.146462238933756463e-03 1.790897882674478492e-04
3.531299999999999883e+00 9.286738833664581923e-04 1.416383254573568939e-04
4.445700000000000429e+00 6.032846949570396617e-04 1.180109760768443400e-04
5.596799999999999997e+00 4.002128764257955945e-04 9.743597476642727512e-05
7.046000000000000263e+00 2.850997344877803045e-04 7.295632674449289631e-05
8.870300000000000296e+00 2.352660379891073096e-04 5.956183921591619572e-05
1.116699999999999982e+01 2.365531042181443920e-04 5.654333660872063041e-05
1.405899999999999928e+01 1.500505150023539287e-04 4.982427165329334146e-05
1.769900000000000162e+01 1.100990020506525664e-04 3.970283804397170226e-05
2.228099999999999881e+01 9.377304201908279147e-05 3.018420271152409822e-05
2.805000000000000071e+01 1.216080289379265910e-04 2.729505682408181222e-05
3.531300000000000239e+01 9.781536100956382052e-05 2.036212695063798603e-05
4.445700000000000074e+01 7.608208606721644481e-05 2.042733939695717628e-05
5.596800000000000352e+01 5.489534448937645971e-05 1.896579225093955034e-05
7.045999999999999375e+01 6.926131016240469774e-05 1.936268165093530083e-05
8.870300000000000296e+01 6.650816645429017836e-05 1.379216386066369821e-05
1.116700000000000017e+02 4.350734979948848991e-05 1.333959288309044179e-05
1.405900000000000034e+02 2.727059482665653600e-05 1.247569174845602726e-05
1.769900000000000091e+02 3.167147998168372757e-05 1.487643674215498169e-05
2.228100000000000023e+02 2.348342256919123922e-05 1.156012290166297738e-05
