# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.180849556127927438e-03 1.839364124613637784e-04
3.531299999999999883e+00 9.557145410153351566e-04 1.456847864748766889e-04
4.445700000000000429e+00 6.175308600655887671e-04 1.210334328506601590e-04
5.596799999999999997e+00 4.086158354728438788e-04 9.909348529414281083e-05
7.046000000000000263e+00 2.906782638163473462e-04 7.420012109440769570e-05
8.870300000000000296e+00 2.389647392554344668e-04 6.026716939680537073e-05
1.116699999999999982e+01 2.393194714940536695e-04 5.703571134497817288e-05
1.405899999999999928e+01 1.512183927408450009e-04 5.021583984029079665e-05
1.769900000000000162e+01 1.107628119968789366e-04 3.996759136191956892e-05
2.228099999999999881e+01 9.437666741794270911e-05 3.038134558224974633e-05
2.805000000000000071e+01 1.220757824419175987e-04 2.740980304025166084e-05
3.531300000000000239e+01 9.804404564370046047e-05 2.035860853402804953e-05
4.445700000000000074e+01 7.624658284406591300e-05 2.048254098247730200e-05
5.596800000000000352e+01 5.504181391484722595e-05 1.901771619324137794e-05
7.045999999999999375e+01 6.943945105073948002e-05 1.943129119711092652e-05
8.870300000000000296e+01 6.674632506707076909e-05 1.382716012847137694e-05
1.116700000000000017e+02 4.360874204632076545e-05 1.332300603524231933e-05
1.405900000000000034e+02 2.728009210848621606e-05 1.247505762393605221e-05
1.769900000000000091e+02 3.167972913236722130e-05 1.488647528100008567e-05
2.228100000000000023e+02 2.348378565091915080e-05 1.154675089197545244e-05
