# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 5.172344009126747776e-06 1.814528278778803684e-04
3.531299999999999883e+00 -1.286878945787602946e-04 1.316657431233838401e-04
4.445700000000000429e+00 -1.019816877188804309e-04 1.388248666078007766e-04
5.596799999999999997e+00 -3.455396159394838105e-05 1.009331082546291420e-04
7.046000000000000263e+00 -5.341626403133542859e-05 7.331227083292030501e-05
8.870300000000000296e+00 7.504827044627136561e-05 6.678391360063767478e-05
1.116699999999999982e+01 1.640347261429599113e-05 5.657786942592381009e-05
1.405899999999999928e+01 6.738441448039533550e-05 4.741561417643585716e-05
1.769900000000000162e+01 -3.808566202298465541e-05 3.567849644366569649e-05
2.228099999999999881e+01 1.901092768716855164e-05 3.330822478285149190e-05
2.805000000000000071e+01 1.518989066463318682e-05 2.681575549591740953e-05
3.531300000000000239e+01 3.590016356333928312e-05 2.120319907292556025e-05
4.445700000000000074e+01 -1.702323815633651586e-05 2.109687796504864339e-05
5.596800000000000352e+01 1.854900662571258593e-06 1.731977575940755966e-05
7.045999999999999375e+01 -6.876971708701997023e-06 1.584197870154586512e-05
8.870300000000000296e+01 -3.451422113829343260e-06 1.445758117658671154e-05
1.116700000000000017e+02 -1.992552468977615084e-05 1.297004537406856644e-05
1.405900000000000034e+02 -2.710003201951561007e-06 8.357574585777242365e-06
1.769900000000000091e+02 -6.737507378464807373e-06 8.185299671182102321e-06
2.228100000000000023e+02 -3.607681894781800357e-06 6.663494319325572424e-06
