# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.605257167568528986e-01 9.982290039273856302e-03
3.531299999999999883e+00 6.649306229795690637e-01 1.013007437021233408e-02
4.445700000000000429e+00 6.609645523831314540e-01 8.495600259760482942e-03
5.596799999999999997e+00 6.661188237673015822e-01 8.450372480434018355e-03
7.046000000000000263e+00 6.605263047492534456e-01 8.827137666113784448e-03
8.870300000000000296e+00 6.581537052624016892e-01 7.632262118621348755e-03
1.116699999999999982e+01 6.584709028537342190e-01 7.633253519108183088e-03
1.405899999999999928e+01 6.612620125068799926e-01 7.984517654988386448e-03
1.769900000000000162e+01 6.572041324607282853e-01 7.889962329946020522e-03
2.228099999999999881e+01 6.572653840349944598e-01 7.494578919605828990e-03
2.805000000000000071e+01 6.576125430040712372e-01 7.614014454813446131e-03
3.531300000000000239e+01 6.581447431402888126e-01 7.423077124098462556e-03
4.445700000000000074e+01 6.564990383681341690e-01 7.185707235407810811e-03
5.596800000000000352e+01 6.570171386509344735e-01 7.038164001384699178e-03
7.045999999999999375e+01 6.564414971156143919e-01 6.397991716430568090e-03
8.870300000000000296e+01 6.572339459534934925e-01 5.638878356571590776e-03
1.116700000000000017e+02 6.566194256979612787e-01 5.075959764224721379e-03
1.405900000000000034e+02 6.574877418318844091e-01 4.038911813134322959e-03
1.769900000000000091e+02 6.573878302524495121e-01 3.650577348056056534e-03
2.228100000000000023e+02 6.564278804023158109e-01 3.593330079912674616e-03
