# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.627152165300416176e-01 7.635340961403593897e-03
3.531299999999999883e+00 6.596664132419522986e-01 7.008780352286281788e-03
4.445700000000000429e+00 6.607853059149069175e-01 7.611995143533984050e-03
5.596799999999999997e+00 6.588465828160656734e-01 7.217441509820502442e-03
7.046000000000000263e+00 6.601615653786767624e-01 7.254482086947740271e-03
8.870300000000000296e+00 6.591751307013778982e-01 7.115545732815664083e-03
1.116699999999999982e+01 6.613079080050330294e-01 7.004074641199496166e-03
1.405899999999999928e+01 6.622443750725812706e-01 6.956654390088824573e-03
1.769900000000000162e+01 6.607529610824282029e-01 6.949365682929079489e-03
2.228099999999999881e+01 6.594533881797535191e-01 6.939432746323640627e-03
2.805000000000000071e+01 6.597527173490337349e-01 6.947200345493088729e-03
3.531300000000000239e+01 6.593062534211576731e-01 6.977306048623746482e-03
4.445700000000000074e+01 6.580333251365818592e-01 6.768784774612957023e-03
5.596800000000000352e+01 6.574200879559385369e-01 6.497496424401453391e-03
7.045999999999999375e+01 6.570409960589030929e-01 6.127829847920963913e-03
8.870300000000000296e+01 6.571098592049620102e-01 5.722504784139454542e-03
1.116700000000000017e+02 6.566722829425212238e-01 5.058831822499307990e-03
1.405900000000000034e+02 6.569781744013477587e-01 4.226907655895377307e-03
1.769900000000000091e+02 6.566787727399335806e-01 3.811413411102054349e-03
2.228100000000000023e+02 6.561653773463105299e-01 3.649582824067694031e-03
