## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8303e+00   1.0385e+00   1.5715e-03   2.6081e-03   4.7617e+03   3.2616e+04
  3.5313e+00   3.5683e+00   1.2702e+00   3.3170e-03   2.1032e-03   7.3222e+03   4.8814e+04
  4.4457e+00   4.4883e+00   1.4996e+00  -1.2749e-03   1.7287e-03   1.0839e+04   7.3104e+04
  5.5968e+00   5.6448e+00   1.7288e+00   3.7953e-04   1.4056e-03   1.6393e+04   1.0860e+05
  7.0460e+00   7.1082e+00   1.9593e+00   1.6532e-03   1.1585e-03   2.4134e+04   1.6054e+05
  8.8703e+00   8.9693e+00   2.1919e+00   9.2910e-04   9.4894e-04   3.5969e+04   2.4015e+05
  1.1167e+01   1.1277e+01   2.4208e+00   8.0555e-04   7.5873e-04   5.6264e+04   3.7491e+05
  1.4059e+01   1.4204e+01   2.6516e+00   1.1053e-03   6.2276e-04   8.3514e+04   5.4947e+05
  1.7699e+01   1.7881e+01   2.8818e+00   1.3036e-03   5.0433e-04   1.2734e+05   8.2901e+05
  2.2281e+01   2.2481e+01   3.1107e+00   3.5808e-04   4.1151e-04   1.9127e+05   1.2793e+06
  2.8050e+01   2.8344e+01   3.3425e+00  -1.1548e-04   3.3542e-04   2.8788e+05   1.9388e+06
  3.5313e+01   3.5635e+01   3.5714e+00  -1.5377e-04   2.7425e-04   4.3062e+05   2.9269e+06
  4.4457e+01   4.4878e+01   3.8019e+00  -2.7577e-04   2.2641e-04   6.3183e+05   4.2772e+06
  5.5968e+01   5.6456e+01   4.0315e+00  -1.4570e-04   1.8663e-04   9.2986e+05   6.2971e+06
  7.0460e+01   7.1068e+01   4.2617e+00  -3.8936e-05   1.5683e-04   1.3169e+06   8.9468e+06
  8.8703e+01   8.9426e+01   4.4914e+00   1.9534e-04   1.3433e-04   1.7950e+06   1.2345e+07
  1.1167e+02   1.1274e+02   4.7231e+00  -1.0890e-04   1.1174e-04   2.5941e+06   1.7985e+07
  1.4059e+02   1.4189e+02   4.9530e+00   5.9476e-06   9.3607e-05   3.6964e+06   2.5909e+07
  1.7699e+02   1.7816e+02   5.1806e+00   1.0976e-04   7.9986e-05   5.0625e+06   3.5575e+07
  2.2281e+02   2.2410e+02   5.4100e+00  -8.3637e-04   7.3196e-05   6.0455e+06   4.2128e+07
