## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.7967e+00   1.0266e+00  -2.5941e-03   1.5718e-02   1.3214e+02   6.1100e+02
  3.5313e+00   3.5469e+00   1.2640e+00  -3.0159e-03   1.4001e-02   1.6653e+02   8.7900e+02
  4.4457e+00   4.4861e+00   1.4989e+00  -3.8025e-03   1.2213e-02   2.1887e+02   1.3360e+03
  5.5968e+00   5.6484e+00   1.7293e+00   2.0533e-03   1.0047e-02   3.2343e+02   1.8740e+03
  7.0460e+00   7.1383e+00   1.9637e+00  -6.1103e-04   7.2591e-03   6.1952e+02   3.0920e+03
  8.8703e+00   8.9111e+00   2.1854e+00  -1.1994e-02   6.3229e-03   8.1657e+02   4.3590e+03
  1.1167e+01   1.1309e+01   2.4238e+00  -7.7835e-03   5.0643e-03   1.2729e+03   6.4380e+03
  1.4059e+01   1.4186e+01   2.6503e+00  -9.4292e-03   4.2391e-03   1.8167e+03   9.5630e+03
  1.7699e+01   1.7858e+01   2.8804e+00  -6.9153e-03   3.8859e-03   2.1619e+03   1.1636e+04
  2.2281e+01   2.2394e+01   3.1068e+00   2.9481e-03   3.3119e-03   2.9763e+03   1.6102e+04
  2.8050e+01   2.8332e+01   3.3420e+00   3.1341e-03   2.8555e-03   4.0036e+03   2.2187e+04
  3.5313e+01   3.5601e+01   3.5705e+00   2.0383e-03   2.1928e-03   6.7896e+03   3.7391e+04
  4.4457e+01   4.4887e+01   3.8022e+00   6.2927e-04   1.8127e-03   9.9347e+03   5.4264e+04
  5.5968e+01   5.6620e+01   4.0344e+00  -2.5983e-03   1.4208e-03   1.6173e+04   8.8014e+04
  7.0460e+01   7.0624e+01   4.2554e+00   1.0866e-03   1.2774e-03   2.0006e+04   1.0660e+05
  8.8703e+01   8.9488e+01   4.4921e+00   1.6660e-03   1.0730e-03   2.8357e+04   1.5982e+05
  1.1167e+02   1.1282e+02   4.7239e+00   3.6299e-04   7.5440e-04   5.7362e+04   3.1699e+05
  1.4059e+02   1.4118e+02   4.9479e+00   4.0097e-04   6.8170e-04   7.0248e+04   3.9059e+05
  1.7699e+02   1.7778e+02   5.1785e+00   3.3976e-04   6.4412e-04   7.8684e+04   4.3053e+05
  2.2281e+02   2.2470e+02   5.4127e+00   7.4822e-04   5.7473e-04   9.8833e+04   5.4056e+05
