## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8279e+00   1.0376e+00   3.9490e-04   2.9903e-03   2.5058e-03   5.1164e+03   3.1679e+04
  3.5313e+00   3.5675e+00   1.2700e+00   2.4327e-05   4.1339e-04   2.0427e-03   7.6994e+03   4.7818e+04
  4.4457e+00   4.4859e+00   1.4991e+00  -6.8998e-04   2.8252e-03   1.6665e-03   1.1567e+04   7.2198e+04
  5.5968e+00   5.6529e+00   1.7303e+00   7.4108e-04   1.8879e-05   1.3611e-03   1.7341e+04   1.0849e+05
  7.0460e+00   7.1157e+00   1.9604e+00  -4.4046e-04   8.0501e-04   1.1019e-03   2.6457e+04   1.6744e+05
  8.8703e+00   8.9710e+00   2.1921e+00   1.1933e-04   3.2250e-04   8.9023e-04   4.0537e+04   2.6077e+05
  1.1167e+01   1.1283e+01   2.4214e+00  -3.7844e-04   3.4264e-05   7.0586e-04   6.4478e+04   4.1355e+05
  1.4059e+01   1.4196e+01   2.6510e+00  -1.8068e-04  -6.6468e-04   5.6751e-04   9.9750e+04   6.3329e+05
  1.7699e+01   1.7877e+01   2.8816e+00  -1.4697e-04  -2.4256e-04   4.6394e-04   1.4926e+05   9.5775e+05
  2.2281e+01   2.2511e+01   3.1121e+00   6.5245e-04  -1.0190e-03   3.6856e-04   2.3650e+05   1.5029e+06
  2.8050e+01   2.8344e+01   3.3425e+00  -2.5261e-04  -6.0000e-04   2.9989e-04   3.5722e+05   2.2692e+06
  3.5313e+01   3.5654e+01   3.5719e+00  -7.9115e-05  -6.1342e-05   2.4364e-04   5.4120e+05   3.4456e+06
  4.4457e+01   4.4922e+01   3.8029e+00  -1.7072e-04  -2.9763e-04   1.9574e-04   8.3850e+05   5.2799e+06
  5.5968e+01   5.6534e+01   4.0329e+00  -1.5394e-04  -1.4691e-04   1.5642e-04   1.3130e+06   8.1721e+06
  7.0460e+01   7.1301e+01   4.2649e+00   1.8795e-04  -1.7910e-04   1.2539e-04   2.0433e+06   1.2622e+07
  8.8703e+01   8.9617e+01   4.4936e+00   3.0674e-05  -1.2428e-04   9.9759e-05   3.2282e+06   1.9638e+07
  1.1167e+02   1.1270e+02   4.7227e+00   4.3342e-04  -1.5529e-04   8.1992e-05   4.7787e+06   2.9347e+07
  1.4059e+02   1.4207e+02   4.9543e+00   3.8436e-04   6.4387e-05   6.7137e-05   7.1274e+06   4.4599e+07
  1.7699e+02   1.7823e+02   5.1811e+00   5.7205e-04   4.5928e-04   5.6688e-05   9.9972e+06   6.3281e+07
  2.2281e+02   2.2386e+02   5.4089e+00   4.6594e-04   5.4108e-04   5.1510e-05   1.2108e+07   7.7569e+07
