## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8226e+00   1.0357e+00   6.2421e-01   9.8604e-03   6.6740e+03   6.6740e+03
  3.5313e+00   3.5682e+00   1.2701e+00   6.1975e-01   7.8003e-03   1.0665e+04   1.0665e+04
  4.4457e+00   4.4930e+00   1.5006e+00   6.2340e-01   6.3212e-03   1.6240e+04   1.6240e+04
  5.5968e+00   5.6498e+00   1.7297e+00   6.2751e-01   5.0812e-03   2.5133e+04   2.5133e+04
  7.0460e+00   7.1140e+00   1.9601e+00   6.3838e-01   4.1730e-03   3.7263e+04   3.7263e+04
  8.8703e+00   8.9727e+00   2.1922e+00   6.3650e-01   3.3509e-03   5.7790e+04   5.7790e+04
  1.1167e+01   1.1270e+01   2.4202e+00   6.4160e-01   2.6517e-03   9.2282e+04   9.2282e+04
  1.4059e+01   1.4210e+01   2.6520e+00   6.3542e-01   2.1173e-03   1.4475e+05   1.4475e+05
  1.7699e+01   1.7894e+01   2.8825e+00   6.3413e-01   1.6694e-03   2.3283e+05   2.3283e+05
  2.2281e+01   2.2503e+01   3.1117e+00   6.3261e-01   1.3337e-03   3.6478e+05   3.6478e+05
  2.8050e+01   2.8318e+01   3.3415e+00   6.3833e-01   1.0855e-03   5.5075e+05   5.5075e+05
  3.5313e+01   3.5620e+01   3.5709e+00   6.4049e-01   9.0954e-04   7.8440e+05   7.8440e+05
  4.4457e+01   4.4936e+01   3.8032e+00   6.4235e-01   7.3743e-04   1.1933e+06   1.1933e+06
  5.5968e+01   5.6316e+01   4.0290e+00   6.3610e-01   6.0549e-04   1.7699e+06   1.7699e+06
  7.0460e+01   7.0946e+01   4.2599e+00   6.3937e-01   5.5357e-04   2.1175e+06   2.1175e+06
  8.8703e+01   8.9256e+01   4.4894e+00   6.4220e-01   4.9575e-04   2.6403e+06   2.6403e+06
  1.1167e+02   1.1231e+02   4.7193e+00   6.4371e-01   4.3810e-04   3.3809e+06   3.3809e+06
  1.4059e+02   1.4205e+02   4.9540e+00   6.3851e-01   3.9049e-04   4.2556e+06   4.2556e+06
  1.7699e+02   1.7673e+02   5.1726e+00   6.4044e-01   3.4039e-04   5.6005e+06   5.6005e+06
  2.2281e+02   2.1887e+02   5.3864e+00   6.3890e-01   4.8057e-04   2.8097e+06   2.8097e+06
