## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8303e+00   1.0384e+00   3.9338e-03   7.1520e-04   6.2344e+04   6.2344e+04
  3.5313e+00   3.5656e+00   1.2694e+00   3.7675e-03   5.8834e-04   9.2128e+04   9.2128e+04
  4.4457e+00   4.4907e+00   1.5001e+00   3.1312e-03   4.8071e-04   1.3800e+05   1.3800e+05
  5.5968e+00   5.6529e+00   1.7302e+00   2.9523e-03   3.8964e-04   2.1005e+05   2.1005e+05
  7.0460e+00   7.1092e+00   1.9595e+00   1.8537e-03   3.1967e-04   3.1207e+05   3.1207e+05
  8.8703e+00   8.9663e+00   2.1915e+00   2.1306e-03   2.6062e-04   4.6948e+05   4.6948e+05
  1.1167e+01   1.1268e+01   2.4200e+00   2.5869e-03   2.1102e-04   7.1617e+05   7.1617e+05
  1.4059e+01   1.4194e+01   2.6509e+00   2.2075e-03   1.7431e-04   1.0495e+06   1.0495e+06
  1.7699e+01   1.7877e+01   2.8815e+00   2.1030e-03   1.4341e-04   1.5507e+06   1.5507e+06
  2.2281e+01   2.2463e+01   3.1099e+00   1.8150e-03   1.1838e-04   2.2757e+06   2.2757e+06
  2.8050e+01   2.8295e+01   3.3407e+00   1.6422e-03   1.0032e-04   3.1686e+06   3.1686e+06
  3.5313e+01   3.5622e+01   3.5709e+00   5.1776e-04   8.4515e-05   4.4646e+06   4.4646e+06
  4.4457e+01   4.4880e+01   3.8020e+00   5.1367e-04   7.0657e-05   6.3876e+06   6.3876e+06
  5.5968e+01   5.6488e+01   4.0320e+00   1.5640e-03   5.7802e-05   9.5447e+06   9.5447e+06
  7.0460e+01   7.1145e+01   4.2627e+00   2.0551e-03   4.7988e-05   1.3848e+07   1.3848e+07
  8.8703e+01   8.9702e+01   4.4945e+00   1.2387e-03   3.8033e-05   2.2046e+07   2.2046e+07
  1.1167e+02   1.1259e+02   4.7218e+00   1.4568e-03   3.1517e-05   3.2103e+07   3.2103e+07
  1.4059e+02   1.4215e+02   4.9548e+00   1.0915e-03   2.6212e-05   4.6415e+07   4.6415e+07
  1.7699e+02   1.7894e+02   5.1850e+00   2.2181e-04   2.0836e-05   7.3456e+07   7.3456e+07
  2.2281e+02   2.2393e+02   5.4092e+00   3.4192e-04   1.7654e-05   1.0233e+08   1.0233e+08
