## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8306e+00   1.0386e+00  -3.6591e-04   4.5040e-04   1.6058e+05   1.6058e+05
  3.5313e+00   3.5660e+00   1.2695e+00  -3.7626e-04   3.7139e-04   2.3617e+05   2.3617e+05
  4.4457e+00   4.4870e+00   1.4993e+00   7.1351e-05   3.0525e-04   3.4960e+05   3.4960e+05
  5.5968e+00   5.6495e+00   1.7296e+00  -3.2020e-04   2.5262e-04   5.1041e+05   5.1041e+05
  7.0460e+00   7.1089e+00   1.9594e+00  -2.1442e-04   2.0929e-04   7.4367e+05   7.4367e+05
  8.8703e+00   8.9669e+00   2.1916e+00   4.0925e-04   1.7207e-04   1.1002e+06   1.1002e+06
  1.1167e+01   1.1266e+01   2.4198e+00   4.4798e-04   1.3836e-04   1.7016e+06   1.7016e+06
  1.4059e+01   1.4187e+01   2.6504e+00   2.4704e-04   1.1499e-04   2.4637e+06   2.4637e+06
  1.7699e+01   1.7887e+01   2.8821e+00   8.3560e-04   9.4661e-05   3.6352e+06   3.6352e+06
  2.2281e+01   2.2485e+01   3.1108e+00   6.9450e-04   7.6305e-05   5.5945e+06   5.5945e+06
  2.8050e+01   2.8350e+01   3.3426e+00   9.1897e-04   6.2698e-05   8.2864e+06   8.2864e+06
  3.5313e+01   3.5678e+01   3.5725e+00   6.7240e-04   5.0547e-05   1.2749e+07   1.2749e+07
  4.4457e+01   4.4893e+01   3.8022e+00   4.3139e-04   4.0975e-05   1.9401e+07   1.9401e+07
  5.5968e+01   5.6542e+01   4.0330e+00   2.0732e-04   3.2934e-05   3.0032e+07   3.0032e+07
  7.0460e+01   7.1091e+01   4.2620e+00   3.9622e-04   2.7120e-05   4.4290e+07   4.4290e+07
  8.8703e+01   8.9497e+01   4.4922e+00   3.1702e-05   2.2773e-05   6.2810e+07   6.2810e+07
  1.1167e+02   1.1278e+02   4.7234e+00  -2.5919e-05   1.8632e-05   9.3832e+07   9.3832e+07
  1.4059e+02   1.4199e+02   4.9537e+00   3.0313e-04   1.5388e-05   1.3756e+08   1.3756e+08
  1.7699e+02   1.7876e+02   5.1841e+00   6.4145e-04   1.2319e-05   2.1464e+08   2.1464e+08
  2.2281e+02   2.2443e+02   5.4114e+00   1.1039e-03   1.0718e-05   2.8356e+08   2.8356e+08
