## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8322e+00   1.0391e+00   1.0570e-04   3.6690e-04   1.8246e-04   9.5953e+05   9.5953e+05
  3.5313e+00   3.5677e+00   1.2700e+00  -1.5029e-04  -1.1257e-05   1.4707e-04   1.4768e+06   1.4768e+06
  4.4457e+00   4.4916e+00   1.5003e+00   3.5900e-04   4.1410e-05   1.1809e-04   2.2905e+06   2.2905e+06
  5.5968e+00   5.6550e+00   1.7306e+00  -4.5145e-05   9.9653e-05   9.4889e-05   3.5478e+06   3.5478e+06
  7.0460e+00   7.1195e+00   1.9609e+00  -1.2721e-05   8.9146e-06   7.6405e-05   5.4719e+06   5.4719e+06
  8.8703e+00   8.9655e+00   2.1914e+00  -2.3135e-04   5.9640e-08   6.1161e-05   8.5396e+06   8.5396e+06
  1.1167e+01   1.1284e+01   2.4214e+00  -7.5364e-05  -9.4412e-06   4.8788e-05   1.3420e+07   1.3420e+07
  1.4059e+01   1.4205e+01   2.6516e+00  -5.7004e-05   1.6684e-04   3.9129e-05   2.0864e+07   2.0864e+07
  1.7699e+01   1.7888e+01   2.8821e+00  -9.1812e-05   5.2084e-05   3.1394e-05   3.2411e+07   3.2411e+07
  2.2281e+01   2.2516e+01   3.1122e+00  -5.0724e-05   6.6695e-05   2.5097e-05   5.0716e+07   5.0716e+07
  2.8050e+01   2.8353e+01   3.3427e+00  -4.6095e-06   7.6114e-05   2.0046e-05   7.9494e+07   7.9494e+07
  3.5313e+01   3.5686e+01   3.5728e+00  -5.1247e-05   1.3449e-04   1.6030e-05   1.2431e+08   1.2431e+08
  4.4457e+01   4.4921e+01   3.8029e+00   1.8160e-05   1.6832e-04   1.2871e-05   1.9282e+08   1.9282e+08
  5.5968e+01   5.6564e+01   4.0334e+00  -3.1621e-05   1.3351e-04   1.0324e-05   2.9971e+08   2.9971e+08
  7.0460e+01   7.1216e+01   4.2637e+00  -3.3118e-05   1.1999e-04   8.2453e-06   4.6986e+08   4.6986e+08
  8.8703e+01   8.9629e+01   4.4937e+00  -7.2943e-05   3.4796e-05   6.6083e-06   7.3148e+08   7.3148e+08
  1.1167e+02   1.1283e+02   4.7239e+00  -1.3599e-04   8.4838e-05   5.3270e-06   1.1257e+09   1.1257e+09
  1.4059e+02   1.4213e+02   4.9548e+00  -1.7405e-04   1.0981e-04   4.2521e-06   1.7668e+09   1.7668e+09
  1.7699e+02   1.7851e+02   5.1826e+00  -1.4104e-04   8.7679e-05   3.4793e-06   2.6388e+09   2.6388e+09
  2.2281e+02   2.2442e+02   5.4115e+00  -5.3587e-05   1.8676e-04   3.0024e-06   3.5436e+09   3.5436e+09
