## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8326e+00   1.0393e+00   6.4465e-01   1.7843e-03   2.0174e+05   2.0174e+05
  3.5313e+00   3.5654e+00   1.2694e+00   6.4432e-01   1.4570e-03   3.0257e+05   3.0257e+05
  4.4457e+00   4.4897e+00   1.4999e+00   6.4612e-01   1.1814e-03   4.6018e+05   4.6018e+05
  5.5968e+00   5.6503e+00   1.7298e+00   6.4529e-01   9.6049e-04   6.9622e+05   6.9622e+05
  7.0460e+00   7.1085e+00   1.9594e+00   6.4460e-01   7.9296e-04   1.0215e+06   1.0215e+06
  8.8703e+00   8.9669e+00   2.1916e+00   6.4379e-01   6.5145e-04   1.5134e+06   1.5134e+06
  1.1167e+01   1.1274e+01   2.4206e+00   6.4353e-01   5.1926e-04   2.3821e+06   2.3821e+06
  1.4059e+01   1.4206e+01   2.6517e+00   6.4446e-01   4.2346e-04   3.5819e+06   3.5819e+06
  1.7699e+01   1.7887e+01   2.8821e+00   6.4473e-01   3.4121e-04   5.5168e+06   5.5168e+06
  2.2281e+01   2.2511e+01   3.1120e+00   6.4401e-01   2.7032e-04   8.7898e+06   8.7898e+06
  2.8050e+01   2.8359e+01   3.3430e+00   6.4329e-01   2.1706e-04   1.3632e+07   1.3632e+07
  3.5313e+01   3.5685e+01   3.5727e+00   6.4321e-01   1.7272e-04   2.1531e+07   2.1531e+07
  4.4457e+01   4.4926e+01   3.8030e+00   6.4301e-01   1.3829e-04   3.3587e+07   3.3587e+07
  5.5968e+01   5.6573e+01   4.0335e+00   6.4316e-01   1.1040e-04   5.2701e+07   5.2701e+07
  7.0460e+01   7.1176e+01   4.2631e+00   6.4307e-01   8.9215e-05   8.0697e+07   8.0697e+07
  8.8703e+01   8.9649e+01   4.4939e+00   6.4322e-01   7.1617e-05   1.2523e+08   1.2523e+08
  1.1167e+02   1.1292e+02   4.7247e+00   6.4293e-01   5.7545e-05   1.9397e+08   1.9397e+08
  1.4059e+02   1.4209e+02   4.9544e+00   6.4291e-01   4.6170e-05   3.0131e+08   3.0131e+08
  1.7699e+02   1.7878e+02   5.1841e+00   6.4204e-01   3.7149e-05   4.6541e+08   4.6541e+08
  2.2281e+02   2.2505e+02   5.4143e+00   6.4018e-01   3.0220e-05   7.0332e+08   7.0332e+08
