## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8325e+00   1.0393e+00  -3.8646e-05   2.6312e-04   4.6538e+05   4.6538e+05
  3.5313e+00   3.5681e+00   1.2701e+00  -5.0911e-04   2.1112e-04   7.2287e+05   7.2287e+05
  4.4457e+00   4.4922e+00   1.5004e+00  -4.8449e-04   1.6893e-04   1.1289e+06   1.1289e+06
  5.5968e+00   5.6554e+00   1.7307e+00  -3.6320e-04   1.3513e-04   1.7644e+06   1.7644e+06
  7.0460e+00   7.1202e+00   1.9610e+00  -4.0746e-04   1.0816e-04   2.7543e+06   2.7543e+06
  8.8703e+00   8.9668e+00   2.1916e+00  -5.9080e-04   8.6451e-05   4.3109e+06   4.3109e+06
  1.1167e+01   1.1285e+01   2.4215e+00  -2.5594e-04   6.8643e-05   6.8379e+06   6.8379e+06
  1.4059e+01   1.4210e+01   2.6520e+00  -3.8005e-04   5.4798e-05   1.0730e+07   1.0730e+07
  1.7699e+01   1.7887e+01   2.8821e+00  -2.8638e-04   4.3751e-05   1.6832e+07   1.6832e+07
  2.2281e+01   2.2517e+01   3.1123e+00  -4.2206e-04   3.4917e-05   2.6426e+07   2.6426e+07
  2.8050e+01   2.8356e+01   3.3428e+00  -2.6798e-04   2.7897e-05   4.1400e+07   4.1400e+07
  3.5313e+01   3.5690e+01   3.5729e+00  -2.3797e-04   2.2246e-05   6.5103e+07   6.5103e+07
  4.4457e+01   4.4931e+01   3.8031e+00  -2.8617e-04   1.7749e-05   1.0227e+08   1.0227e+08
  5.5968e+01   5.6563e+01   4.0333e+00  -3.5257e-04   1.4202e-05   1.5974e+08   1.5974e+08
  7.0460e+01   7.1190e+01   4.2633e+00  -3.7520e-04   1.1420e-05   2.4706e+08   2.4706e+08
  8.8703e+01   8.9624e+01   4.4936e+00  -3.7204e-04   9.2158e-06   3.7935e+08   3.7935e+08
  1.1167e+02   1.1288e+02   4.7243e+00  -3.4287e-04   7.3892e-06   5.9008e+08   5.9008e+08
  1.4059e+02   1.4215e+02   4.9549e+00  -2.5069e-04   5.8553e-06   9.3975e+08   9.3975e+08
  1.7699e+02   1.7887e+02   5.1847e+00  -2.1285e-04   4.6670e-06   1.4792e+09   1.4792e+09
  2.2281e+02   2.2449e+02   5.4118e+00  -2.6096e-04   3.8803e-06   2.1398e+09   2.1398e+09
