## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.7869e+00   1.0231e+00   1.0598e-02   1.2288e-02   2.0800e+02   2.0800e+02
  3.5313e+00   3.5531e+00   1.2657e+00   1.7689e-02   1.0249e-02   2.9900e+02   2.9900e+02
  4.4457e+00   4.4941e+00   1.5008e+00   3.3040e-02   8.8281e-03   4.0300e+02   4.0300e+02
  5.5968e+00   5.7111e+00   1.7406e+00  -2.7075e-03   6.7862e-03   6.8200e+02   6.8200e+02
  7.0460e+00   7.1022e+00   1.9585e+00   1.9035e-03   5.4153e-03   1.0710e+03   1.0710e+03
  8.8703e+00   8.8784e+00   2.1817e+00  -1.0951e-02   4.6461e-03   1.4550e+03   1.4550e+03
  1.1167e+01   1.1304e+01   2.4232e+00  -6.3605e-03   3.9838e-03   1.9790e+03   1.9790e+03
  1.4059e+01   1.4230e+01   2.6535e+00   2.0327e-03   2.9591e-03   3.5870e+03   3.5870e+03
  1.7699e+01   1.7881e+01   2.8818e+00  -3.5319e-03   2.3263e-03   5.8040e+03   5.8040e+03
  2.2281e+01   2.2427e+01   3.1083e+00   8.4881e-03   1.9825e-03   7.9910e+03   7.9910e+03
  2.8050e+01   2.8477e+01   3.3472e+00   5.7669e-03   1.5571e-03   1.2954e+04   1.2954e+04
  3.5313e+01   3.5702e+01   3.5733e+00   3.2597e-04   1.2355e-03   2.0577e+04   2.0577e+04
  4.4457e+01   4.4438e+01   3.7919e+00  -2.5963e-04   1.2435e-03   2.0312e+04   2.0312e+04
  5.5968e+01   5.7184e+01   4.0443e+00  -1.9036e-03   8.7627e-04   4.0904e+04   4.0904e+04
  7.0460e+01   6.9892e+01   4.2451e+00   7.8370e-04   7.5326e-04   5.5355e+04   5.5355e+04
  8.8703e+01   8.9090e+01   4.4873e+00   6.6432e-04   8.5803e-04   4.2662e+04   4.2662e+04
  1.1167e+02   1.1402e+02   4.7345e+00  -7.7947e-04   6.9330e-04   6.5344e+04   6.5344e+04
  1.4059e+02   1.3926e+02   4.9342e+00   1.2621e-03   6.3989e-04   7.6706e+04   7.6706e+04
  1.7699e+02   1.8099e+02   5.1966e+00  -9.7546e-05   4.9499e-04   1.2819e+05   1.2819e+05
  2.2281e+02   2.2558e+02   5.4168e+00   3.7426e-05   3.2836e-04   2.9130e+05   2.9130e+05
