## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8314e+00   1.0389e+00  -9.2489e-04  -8.4904e-04   9.5597e-04   3.5397e+04   3.5397e+04
  3.5313e+00   3.5647e+00   1.2692e+00   4.5476e-04   3.7511e-04   7.8543e-04   5.2437e+04   5.2437e+04
  4.4457e+00   4.4857e+00   1.4990e+00  -1.5634e-03   8.9645e-04   6.4645e-04   7.7407e+04   7.7407e+04
  5.5968e+00   5.6487e+00   1.7295e+00  -3.2066e-04   6.3829e-05   5.3379e-04   1.1353e+05   1.1353e+05
  7.0460e+00   7.1025e+00   1.9586e+00  -5.8259e-04   6.2480e-04   4.4898e-04   1.6047e+05   1.6047e+05
  8.8703e+00   8.9790e+00   2.1930e+00   1.7989e-04   1.1030e-04   3.7158e-04   2.3428e+05   2.3428e+05
  1.1167e+01   1.1273e+01   2.4205e+00   1.3269e-04  -9.3505e-05   2.8844e-04   3.8881e+05   3.8881e+05
  1.4059e+01   1.4206e+01   2.6518e+00   9.9334e-05  -2.3131e-04   2.3542e-04   5.8365e+05   5.8365e+05
  1.7699e+01   1.7882e+01   2.8818e+00   1.2521e-04   3.4077e-04   1.9337e-04   8.6515e+05   8.6515e+05
  2.2281e+01   2.2475e+01   3.1104e+00  -2.5946e-04   2.9993e-04   1.5648e-04   1.3211e+06   1.3211e+06
  2.8050e+01   2.8384e+01   3.3438e+00  -7.2383e-05   6.9552e-05   1.2653e-04   2.0207e+06   2.0207e+06
  3.5313e+01   3.5646e+01   3.5716e+00  -2.9250e-04   1.8307e-04   1.0118e-04   3.1595e+06   3.1595e+06
  4.4457e+01   4.4901e+01   3.8025e+00  -1.7118e-04  -9.7725e-05   8.1986e-05   4.8125e+06   4.8125e+06
  5.5968e+01   5.6483e+01   4.0319e+00  -1.7311e-05   4.4393e-04   6.7746e-05   7.0482e+06   7.0482e+06
  7.0460e+01   7.1174e+01   4.2631e+00  -2.7663e-04   4.0536e-04   5.5249e-05   1.0597e+07   1.0597e+07
  8.8703e+01   8.9610e+01   4.4935e+00   1.7778e-04   3.7497e-04   4.4580e-05   1.6277e+07   1.6277e+07
  1.1167e+02   1.1296e+02   4.7250e+00   4.6733e-04   5.6600e-04   3.5454e-05   2.5735e+07   2.5735e+07
  1.4059e+02   1.4216e+02   4.9550e+00   2.4002e-04   5.3808e-04   2.8099e-05   4.0970e+07   4.0970e+07
  1.7699e+02   1.7838e+02   5.1819e+00   1.4053e-04   2.7348e-04   2.3040e-05   6.0938e+07   6.0938e+07
  2.2281e+02   2.2440e+02   5.4114e+00   2.4385e-04   4.3786e-04   2.0161e-05   7.9582e+07   7.9582e+07
