## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 549958080.8316985}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8315e+00   1.0389e+00   1.6909e-02   3.9915e-03   2.9690e+04   2.9197e+04   1.7075e+05
  3.5313e+00   3.5671e+00   1.2699e+00   1.0660e-02   3.2237e-03   4.5236e+04   4.4759e+04   2.6166e+05
  4.4457e+00   4.4918e+00   1.5004e+00   7.0582e-03   2.5926e-03   6.9692e+04   6.9204e+04   4.0248e+05
  5.5968e+00   5.6540e+00   1.7305e+00  -1.5189e-03   2.0884e-03   1.0649e+05   1.0665e+05   6.1837e+05
  7.0460e+00   7.1180e+00   1.9607e+00  -3.7253e-03   1.6812e-03   1.6396e+05   1.6458e+05   9.5038e+05
  8.8703e+00   8.9649e+00   2.1914e+00   8.0925e-03   1.3510e-03   2.5690e+05   2.5484e+05   1.4742e+06
  1.1167e+01   1.1283e+01   2.4214e+00   5.9297e-04   1.0799e-03   3.9913e+05   3.9889e+05   2.2860e+06
  1.4059e+01   1.4204e+01   2.6516e+00   2.7122e-04   8.7110e-04   6.1317e+05   6.1301e+05   3.5055e+06
  1.7699e+01   1.7880e+01   2.8817e+00   1.4434e-03   7.0374e-04   9.4059e+05   9.3923e+05   5.3765e+06
  2.2281e+01   2.2509e+01   3.1120e+00   5.4667e-03   5.6709e-04   1.4543e+06   1.4464e+06   8.2876e+06
  2.8050e+01   2.8332e+01   3.3420e+00   6.9034e-03   4.6083e-04   2.2055e+06   2.1904e+06   1.2653e+07
  3.5313e+01   3.5649e+01   3.5717e+00   8.6520e-03   3.7738e-04   3.2945e+06   3.2663e+06   1.8821e+07
  4.4457e+01   4.4866e+01   3.8017e+00   4.7084e-03   3.1104e-04   4.8308e+06   4.8081e+06   2.7515e+07
  5.5968e+01   5.6483e+01   4.0320e+00   9.9688e-03   2.5708e-04   7.1082e+06   7.0380e+06   4.0195e+07
  7.0460e+01   7.1104e+01   4.2622e+00   3.8800e-05   2.1302e-04   1.0251e+07   1.0251e+07   5.7924e+07
  8.8703e+01   8.9537e+01   4.4927e+00  -9.1211e-03   1.7570e-04   1.4931e+07   1.5068e+07   8.4998e+07
  1.1167e+02   1.1283e+02   4.7239e+00  -1.1684e-02   1.4325e-04   2.2403e+07   2.2668e+07   1.2777e+08
  1.4059e+02   1.4212e+02   4.9547e+00  -1.1483e-02   1.1429e-04   3.5204e+07   3.5613e+07   2.0080e+08
  1.7699e+02   1.7893e+02   5.1850e+00   4.7802e-03   9.1549e-05   5.5765e+07   5.5500e+07   3.1538e+08
  2.2281e+02   2.2499e+02   5.4140e+00   9.1981e-03   7.3958e-05   8.5823e+07   8.5040e+07   4.8714e+08
