## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8329e+00   1.0394e+00  -6.8131e-04   1.7850e-03   1.0141e+04   6.7208e+04
  3.5313e+00   3.5648e+00   1.2692e+00  -5.2669e-04   1.4442e-03   1.5491e+04   1.0356e+05
  4.4457e+00   4.4892e+00   1.4998e+00  -1.3489e-03   1.1692e-03   2.3634e+04   1.5796e+05
  5.5968e+00   5.6557e+00   1.7308e+00  -9.5429e-04   9.3696e-04   3.6803e+04   2.4330e+05
  7.0460e+00   7.1168e+00   1.9606e+00  -1.1804e-03   7.5093e-04   5.7295e+04   3.7949e+05
  8.8703e+00   8.9678e+00   2.1917e+00  -7.1338e-04   5.9499e-04   9.1266e+04   5.9689e+05
  1.1167e+01   1.1283e+01   2.4214e+00  -1.5163e-03   4.7340e-04   1.4416e+05   9.4832e+05
  1.4059e+01   1.4199e+01   2.6513e+00  -1.2085e-03   3.7957e-04   2.2426e+05   1.4783e+06
  1.7699e+01   1.7890e+01   2.8823e+00  -6.5894e-04   3.0428e-04   3.4895e+05   2.3121e+06
  2.2281e+01   2.2507e+01   3.1119e+00  -9.8617e-04   2.4259e-04   5.4899e+05   3.6195e+06
  2.8050e+01   2.8343e+01   3.3424e+00  -1.2087e-03   1.9745e-04   8.2872e+05   5.4865e+06
  3.5313e+01   3.5668e+01   3.5723e+00  -7.5129e-04   1.5995e-04   1.2629e+06   8.3529e+06
  4.4457e+01   4.4905e+01   3.8026e+00  -6.6669e-04   1.2998e-04   1.9123e+06   1.2621e+07
  5.5968e+01   5.6525e+01   4.0327e+00  -6.3042e-04   1.0507e-04   2.9264e+06   1.9178e+07
  7.0460e+01   7.1184e+01   4.2633e+00  -6.4268e-04   8.5126e-05   4.4586e+06   2.9363e+07
  8.8703e+01   8.9617e+01   4.4936e+00  -6.8940e-04   6.8817e-05   6.8223e+06   4.5318e+07
  1.1167e+02   1.1287e+02   4.7242e+00  -8.9774e-04   5.5261e-05   1.0580e+07   7.0442e+07
  1.4059e+02   1.4194e+02   4.9534e+00  -1.0761e-03   4.4781e-05   1.6111e+07   1.0742e+08
  1.7699e+02   1.7877e+02   5.1841e+00  -9.5053e-04   3.6768e-05   2.3899e+07   1.5944e+08
  2.2281e+02   2.2392e+02   5.4092e+00  -6.6179e-04   3.1403e-05   3.2762e+07   2.1899e+08
