## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8299e+00   1.0383e+00   4.8031e-03   1.9862e-03   8.3912e+03   4.9381e+04
  3.5313e+00   3.5687e+00   1.2703e+00   2.5387e-03   1.6060e-03   1.2834e+04   7.5292e+04
  4.4457e+00   4.4901e+00   1.5000e+00   3.2907e-03   1.3032e-03   1.9492e+04   1.1418e+05
  5.5968e+00   5.6510e+00   1.7299e+00   1.2648e-03   1.0585e-03   2.9546e+04   1.7247e+05
  7.0460e+00   7.1125e+00   1.9599e+00   1.8814e-03   8.7057e-04   4.3677e+04   2.5718e+05
  8.8703e+00   8.9577e+00   2.1906e+00   2.9305e-03   7.1002e-04   6.5662e+04   3.8256e+05
  1.1167e+01   1.1271e+01   2.4203e+00   2.1023e-03   5.7238e-04   1.0104e+05   5.8524e+05
  1.4059e+01   1.4202e+01   2.6515e+00   2.0684e-03   4.6845e-04   1.5084e+05   8.8078e+05
  1.7699e+01   1.7883e+01   2.8819e+00   2.0488e-03   3.7864e-04   2.3089e+05   1.3189e+06
  2.2281e+01   2.2501e+01   3.1116e+00   1.8822e-03   3.0551e-04   3.5466e+05   1.9939e+06
  2.8050e+01   2.8304e+01   3.3411e+00   2.1352e-03   2.5308e-04   5.1682e+05   2.9339e+06
  3.5313e+01   3.5648e+01   3.5717e+00   1.8034e-03   2.1027e-04   7.4871e+05   4.2825e+06
  4.4457e+01   4.4855e+01   3.8015e+00   1.7448e-03   1.7521e-04   1.0783e+06   6.2493e+06
  5.5968e+01   5.6488e+01   4.0320e+00   1.5381e-03   1.4724e-04   1.5269e+06   8.8629e+06
  7.0460e+01   7.1060e+01   4.2615e+00   1.1531e-03   1.2357e-04   2.1678e+06   1.2696e+07
  8.8703e+01   8.9492e+01   4.4921e+00   7.0318e-04   1.0437e-04   3.0388e+06   1.8030e+07
  1.1167e+02   1.1258e+02   4.7216e+00   7.7628e-04   8.7374e-05   4.3361e+06   2.5754e+07
  1.4059e+02   1.4192e+02   4.9532e+00   7.1703e-04   7.3294e-05   6.1620e+06   3.6489e+07
  1.7699e+02   1.7839e+02   5.1819e+00   3.8490e-04   6.1347e-05   8.7957e+06   5.1478e+07
  2.2281e+02   2.2313e+02   5.4056e+00   3.0842e-04   5.8316e-05   9.7339e+06   5.5729e+07
