# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.033899257675037653e+00 2.323082683544139444e-03
3.531299999999999883e+00 1.029071030035384471e+00 2.446250692605311718e-03
4.445700000000000429e+00 1.024717946138602898e+00 2.400310225038278060e-03
5.596799999999999997e+00 1.021233404579305226e+00 2.528355758454987109e-03
7.046000000000000263e+00 1.016957286066904942e+00 2.582355111554085134e-03
8.870300000000000296e+00 1.014331960141690248e+00 2.510477122378875804e-03
1.116699999999999982e+01 1.012183823950244088e+00 2.595833770135896976e-03
1.405899999999999928e+01 1.009788115045866963e+00 2.506017346297951393e-03
1.769900000000000162e+01 1.008043176108758709e+00 2.569103707094972950e-03
2.228099999999999881e+01 1.006629736341029480e+00 2.581844020111801353e-03
2.805000000000000071e+01 1.006198196013675661e+00 2.702798332758521004e-03
3.531300000000000239e+01 1.004989787923725064e+00 2.714519868517049819e-03
4.445700000000000074e+01 1.003149109371561654e+00 2.695693222983075021e-03
5.596800000000000352e+01 1.002914530147559491e+00 2.586167060225856747e-03
7.045999999999999375e+01 1.001412672312359531e+00 2.593020811979022348e-03
8.870300000000000296e+01 1.001938086513263437e+00 2.398321269151889711e-03
1.116700000000000017e+02 1.000529108321847938e+00 2.233764192985441058e-03
1.405900000000000034e+02 9.999276501954648122e-01 1.870419316255792939e-03
1.769900000000000091e+02 1.000024248410515737e+00 1.443692658436879564e-03
2.228100000000000023e+02 9.990436155375747029e-01 1.707322342657135571e-03
