# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.164362379840234519e-03 1.677593177951876985e-04
3.531299999999999883e+00 8.924188834150243669e-04 1.115920192202995715e-04
4.445700000000000429e+00 6.923155174852778154e-04 9.642813593403227893e-05
5.596799999999999997e+00 5.241869803185547931e-04 8.092194133349196955e-05
7.046000000000000263e+00 4.138826969421458869e-04 6.277559397947210171e-05
8.870300000000000296e+00 3.109414302794820373e-04 5.299311260477999159e-05
1.116699999999999982e+01 2.579847450334396206e-04 4.672759206481215687e-05
1.405899999999999928e+01 2.008444581526701701e-04 3.645381214127467982e-05
1.769900000000000162e+01 1.441771191434849258e-04 3.359841701481553448e-05
2.228099999999999881e+01 1.109095042167908968e-04 2.641741527500284279e-05
2.805000000000000071e+01 1.410045763281543834e-04 2.203697829539790455e-05
3.531300000000000239e+01 1.131598750419791753e-04 2.148771527146168137e-05
4.445700000000000074e+01 9.935610244870846791e-05 2.033112040774184083e-05
5.596800000000000352e+01 7.021883253685554690e-05 1.784367279593061946e-05
7.045999999999999375e+01 6.732496239537761836e-05 1.551867707880370830e-05
8.870300000000000296e+01 5.239130613655758524e-05 1.373566602185837804e-05
1.116700000000000017e+02 4.364106840815421359e-05 1.255739260720879638e-05
1.405900000000000034e+02 3.594889938646770780e-05 1.279052945552409189e-05
1.769900000000000091e+02 3.316385873259764531e-05 1.188969341009625458e-05
2.228100000000000023e+02 2.460737375849340004e-05 1.049059335290884561e-05
