# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.201932126175589682e-03 1.734950660451096667e-04
3.531299999999999883e+00 9.173590660555940154e-04 1.142962962414316181e-04
4.445700000000000429e+00 7.089883048823215602e-04 9.826040549261554340e-05
5.596799999999999997e+00 5.353265204515755306e-04 8.261163161808838325e-05
7.046000000000000263e+00 4.204578052467972506e-04 6.364062835486955418e-05
8.870300000000000296e+00 3.153538493002721330e-04 5.354101887272565586e-05
1.116699999999999982e+01 2.610171991487687630e-04 4.725591512211405358e-05
1.405899999999999928e+01 2.024456162012718019e-04 3.677698914257750558e-05
1.769900000000000162e+01 1.453514291645037373e-04 3.388258446103580755e-05
2.228099999999999881e+01 1.116580363113408230e-04 2.662227750185847431e-05
2.805000000000000071e+01 1.417906333101953925e-04 2.216226405331706256e-05
3.531300000000000239e+01 1.137313224654105742e-04 2.152124785308689344e-05
4.445700000000000074e+01 9.969692784025314448e-05 2.038442121211676380e-05
5.596800000000000352e+01 7.044933721361265394e-05 1.788536859774050438e-05
7.045999999999999375e+01 6.743928665737558721e-05 1.552412019752463150e-05
8.870300000000000296e+01 5.254630398494309452e-05 1.373336271528615319e-05
1.116700000000000017e+02 4.368168191779043429e-05 1.251863397394291557e-05
1.405900000000000034e+02 3.594206945871075140e-05 1.280516619676022351e-05
1.769900000000000091e+02 3.316612498568171697e-05 1.189951135749554113e-05
2.228100000000000023e+02 2.454249870847238608e-05 1.048380030825904995e-05
