# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 -9.899474927168952791e-05 1.544547283595255199e-04
3.531299999999999883e+00 -1.341603275039438892e-04 1.172139444852212514e-04
4.445700000000000429e+00 5.370598546339005775e-05 9.101948485499032149e-05
5.596799999999999997e+00 -8.634658994113022449e-05 7.742880377065317554e-05
7.046000000000000263e+00 -2.157564626211967140e-06 6.270964017570905959e-05
8.870300000000000296e+00 1.055949935822231891e-04 5.247259275510934157e-05
1.116699999999999982e+01 3.655654172740639625e-05 3.953474125167204706e-05
1.405899999999999928e+01 5.707521785855995959e-05 3.579700434166399424e-05
1.769900000000000162e+01 1.195521138801925954e-05 2.692679102668272010e-05
2.228099999999999881e+01 -1.215148157858040002e-05 2.502062481225871901e-05
2.805000000000000071e+01 -2.131940927525855114e-05 1.985941898636469090e-05
3.531300000000000239e+01 3.359576933036242485e-06 2.040106016081481998e-05
4.445700000000000074e+01 -1.420933807566600909e-05 1.686941671498327065e-05
5.596800000000000352e+01 -5.192004291573046600e-06 1.540323151996042086e-05
7.045999999999999375e+01 -1.169847516485504461e-06 1.148297161892177107e-05
8.870300000000000296e+01 -1.631042389762358302e-06 9.998071281647269909e-06
1.116700000000000017e+02 -9.456261964597574205e-06 8.896537948134555719e-06
1.405900000000000034e+02 -4.126372993666705319e-06 8.720909047615439853e-06
1.769900000000000091e+02 -7.897173515704773895e-06 9.256129140866068767e-06
2.228100000000000023e+02 3.052439877005367554e-06 7.843531429858168817e-06
