# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.488743962304244217e-01 9.386677328501928305e-03
3.531299999999999883e+00 6.542955571046732421e-01 9.652857978115268398e-03
4.445700000000000429e+00 6.554057497133689569e-01 8.283740780100566983e-03
5.596799999999999997e+00 6.556235919146317093e-01 7.932007082089324521e-03
7.046000000000000263e+00 6.505771491338602219e-01 7.899093661884277681e-03
8.870300000000000296e+00 6.532821937566175574e-01 7.198463889887330922e-03
1.116699999999999982e+01 6.545744633454864125e-01 7.155134927292248689e-03
1.405899999999999928e+01 6.526084509541232315e-01 7.341039940863195237e-03
1.769900000000000162e+01 6.524403647791037208e-01 7.366513968225919459e-03
2.228099999999999881e+01 6.520646843686781491e-01 6.966380140983526384e-03
2.805000000000000071e+01 6.510312547522417725e-01 6.689105136684869897e-03
3.531300000000000239e+01 6.505697738538647190e-01 6.516065915075091794e-03
4.445700000000000074e+01 6.504496254694570601e-01 6.279879908550303064e-03
5.596800000000000352e+01 6.510468613984050634e-01 6.069308403759647932e-03
7.045999999999999375e+01 6.502200765176493480e-01 5.811792949875392404e-03
8.870300000000000296e+01 6.492876507439711009e-01 5.226038819225993157e-03
1.116700000000000017e+02 6.479456975342361424e-01 4.817676997876260692e-03
1.405900000000000034e+02 6.490476662367645755e-01 4.149234149324609877e-03
1.769900000000000091e+02 6.507560416791140501e-01 3.819844490079137619e-03
2.228100000000000023e+02 6.525544990859869499e-01 3.796908742411883152e-03
