# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.545498135790104310e-01 7.443730352069482907e-03
3.531299999999999883e+00 6.536653028771537421e-01 7.003249397573374849e-03
4.445700000000000429e+00 6.539158056884122328e-01 7.309371232854025395e-03
5.596799999999999997e+00 6.517590196837588223e-01 7.134518059425741521e-03
7.046000000000000263e+00 6.518054423573649281e-01 7.329473905431237342e-03
8.870300000000000296e+00 6.511770886972463313e-01 7.279493873594545389e-03
1.116699999999999982e+01 6.527892704546489622e-01 7.159856992414289668e-03
1.405899999999999928e+01 6.522803934241673263e-01 7.008039314587914508e-03
1.769900000000000162e+01 6.513692454927717534e-01 6.911499244135785140e-03
2.228099999999999881e+01 6.510905169966335615e-01 6.834531288827696595e-03
2.805000000000000071e+01 6.508567368923561247e-01 6.603839798184232487e-03
3.531300000000000239e+01 6.502391495635795327e-01 6.412029117515758055e-03
4.445700000000000074e+01 6.505556344054553852e-01 6.238099337518525703e-03
5.596800000000000352e+01 6.498393322385860316e-01 6.105706463651223992e-03
7.045999999999999375e+01 6.491097514545162150e-01 5.877071395262542519e-03
8.870300000000000296e+01 6.489833091431947976e-01 5.381952813043702419e-03
1.116700000000000017e+02 6.480629417976455642e-01 4.973808396523509909e-03
1.405900000000000034e+02 6.488454813597971382e-01 4.353330007961129892e-03
1.769900000000000091e+02 6.508182254756564866e-01 3.941297124428206310e-03
2.228100000000000023e+02 6.527629389844441521e-01 3.809511016552047727e-03
