## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8295e+00   1.0382e+00   2.2614e-03   4.2468e-03   1.7765e+03   1.1295e+04
  3.5313e+00   3.5681e+00   1.2701e+00   1.3629e-03   3.3099e-03   2.9245e+03   1.7970e+04
  4.4457e+00   4.4963e+00   1.5014e+00  -3.1644e-04   2.6812e-03   4.4567e+03   2.7968e+04
  5.5968e+00   5.6533e+00   1.7304e+00   1.6893e-04   2.1438e-03   6.9716e+03   4.3618e+04
  7.0460e+00   7.1197e+00   1.9609e+00   1.1976e-04   1.7386e-03   1.0600e+04   6.6157e+04
  8.8703e+00   8.9598e+00   2.1908e+00   7.7795e-04   1.3938e-03   1.6493e+04   1.0278e+05
  1.1167e+01   1.1281e+01   2.4212e+00   6.3857e-04   1.1325e-03   2.4980e+04   1.5950e+05
  1.4059e+01   1.4194e+01   2.6509e+00   6.5949e-04   9.2310e-04   3.7600e+04   2.4297e+05
  1.7699e+01   1.7870e+01   2.8812e+00   8.6580e-04   7.4884e-04   5.7136e+04   3.6086e+05
  2.2281e+01   2.2500e+01   3.1116e+00   3.5068e-04   6.1262e-04   8.5371e+04   5.3974e+05
  2.8050e+01   2.8305e+01   3.3411e+00   9.1737e-04   5.0513e-04   1.2557e+05   7.9967e+05
  3.5313e+01   3.5643e+01   3.5716e+00   4.8421e-04   4.1245e-04   1.8834e+05   1.1820e+06
  4.4457e+01   4.4827e+01   3.8008e+00   1.8940e-03   3.4455e-04   2.6988e+05   1.6825e+06
  5.5968e+01   5.6432e+01   4.0310e+00   1.1022e-03   2.8985e-04   3.8135e+05   2.3566e+06
  7.0460e+01   7.1196e+01   4.2634e+00   6.7441e-04   2.4092e-04   5.5198e+05   3.4146e+06
  8.8703e+01   8.9446e+01   4.4916e+00   9.0575e-04   1.9938e-04   8.0596e+05   4.9818e+06
  1.1167e+02   1.1275e+02   4.7232e+00   1.4063e-03   1.6385e-04   1.1934e+06   7.4047e+06
  1.4059e+02   1.4266e+02   4.9585e+00   1.2963e-03   1.2510e-04   2.0473e+06   1.2984e+07
  1.7699e+02   1.7883e+02   5.1844e+00   6.1733e-04   9.4742e-05   3.5695e+06   2.2146e+07
  2.2281e+02   2.2383e+02   5.4088e+00   6.1501e-04   8.1450e-05   4.8295e+06   2.9796e+07
