## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8306e+00   1.0386e+00   5.0307e-04   1.0700e-03   2.8441e+04   1.5516e+05
  3.5313e+00   3.5670e+00   1.2699e+00  -2.1937e-03   8.6416e-04   4.3601e+04   2.3728e+05
  4.4457e+00   4.4898e+00   1.4999e+00  -9.7957e-04   6.9355e-04   6.7689e+04   3.6821e+05
  5.5968e+00   5.6530e+00   1.7303e+00  -5.6933e-04   5.5758e-04   1.0473e+05   5.6535e+05
  7.0460e+00   7.1158e+00   1.9604e+00  -5.2781e-04   4.4892e-04   1.6157e+05   8.7433e+05
  8.8703e+00   8.9666e+00   2.1916e+00  -1.5004e-04   3.5805e-04   2.5398e+05   1.3664e+06
  1.1167e+01   1.1282e+01   2.4213e+00  -4.6353e-04   2.8436e-04   4.0267e+05   2.1611e+06
  1.4059e+01   1.4204e+01   2.6516e+00  -5.1309e-04   2.2934e-04   6.1906e+05   3.3278e+06
  1.7699e+01   1.7885e+01   2.8820e+00  -2.9324e-04   1.8468e-04   9.5459e+05   5.1286e+06
  2.2281e+01   2.2508e+01   3.1119e+00  -6.8411e-05   1.4815e-04   1.4834e+06   7.9141e+06
  2.8050e+01   2.8326e+01   3.3418e+00  -4.9667e-04   1.2089e-04   2.2279e+06   1.1865e+07
  3.5313e+01   3.5655e+01   3.5719e+00   1.6262e-04   9.8519e-05   3.3546e+06   1.7846e+07
  4.4457e+01   4.4874e+01   3.8019e+00  -8.2764e-05   8.1174e-05   4.9413e+06   2.6285e+07
  5.5968e+01   5.6470e+01   4.0317e+00  -1.8881e-04   6.7273e-05   7.1945e+06   3.8319e+07
  7.0460e+01   7.1135e+01   4.2626e+00  -2.5362e-04   5.5863e-05   1.0433e+07   5.6202e+07
  8.8703e+01   8.9558e+01   4.4929e+00  -3.9043e-04   4.6032e-05   1.5366e+07   8.3540e+07
  1.1167e+02   1.1271e+02   4.7228e+00  -4.1018e-04   3.7713e-05   2.2893e+07   1.2491e+08
  1.4059e+02   1.4170e+02   4.9517e+00  -2.7558e-04   3.1945e-05   3.1906e+07   1.7411e+08
  1.7699e+02   1.7856e+02   5.1829e+00  -3.9450e-04   2.7222e-05   4.3939e+07   2.4076e+08
  2.2281e+02   2.2422e+02   5.4106e+00  -3.1839e-04   2.3205e-05   6.0466e+07   3.3655e+08
