## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8341e+00   1.0399e+00  -1.0454e-02   6.1230e-03   1.3039e-02   1.9192e+02   9.6900e+02
  3.5313e+00   3.5532e+00   1.2660e+00   7.4509e-03  -2.0208e-04   1.1858e-02   2.3204e+02   1.2940e+03
  4.4457e+00   4.4777e+00   1.4972e+00   1.1253e-03   3.8796e-03   1.1000e-02   2.6964e+02   1.5880e+03
  5.5968e+00   5.6435e+00   1.7287e+00  -7.8385e-03  -1.2118e-02   1.0004e-02   3.2599e+02   1.9500e+03
  7.0460e+00   7.0880e+00   1.9565e+00  -1.2213e-03  -1.3028e-03   8.6532e-03   4.3574e+02   2.4120e+03
  8.8703e+00   8.9707e+00   2.1921e+00   7.2239e-03  -4.1451e-03   7.7076e-03   5.4921e+02   3.1700e+03
  1.1167e+01   1.1306e+01   2.4235e+00   2.7911e-03  -3.3088e-03   5.7457e-03   9.8829e+02   5.1390e+03
  1.4059e+01   1.4220e+01   2.6527e+00  -1.9673e-03   3.7897e-04   4.5257e-03   1.5930e+03   7.4970e+03
  1.7699e+01   1.7909e+01   2.8834e+00  -3.7467e-03   6.8954e-03   3.7143e-03   2.3650e+03   1.1371e+04
  2.2281e+01   2.2617e+01   3.1167e+00   1.2383e-03  -2.9464e-03   2.9938e-03   3.6401e+03   1.8239e+04
  2.8050e+01   2.8416e+01   3.3450e+00   2.5371e-03   4.1433e-04   2.3392e-03   5.9628e+03   3.1646e+04
  3.5313e+01   3.5910e+01   3.5791e+00  -4.7284e-03  -1.8164e-03   1.7874e-03   1.0212e+04   5.1916e+04
  4.4457e+01   4.5039e+01   3.8055e+00   2.7632e-03   3.6241e-04   1.4544e-03   1.5424e+04   7.4854e+04
  5.5968e+01   5.6630e+01   4.0346e+00   7.1895e-04   1.6506e-03   1.1194e-03   2.6040e+04   1.2836e+05
  7.0460e+01   7.1280e+01   4.2647e+00  -2.1793e-03  -2.5969e-03   9.0258e-04   4.0050e+04   1.9608e+05
  8.8703e+01   8.8949e+01   4.4861e+00   9.1327e-06  -3.9784e-04   7.7627e-04   5.4144e+04   2.7936e+05
  1.1167e+02   1.1187e+02   4.7153e+00  -6.7125e-04   1.5777e-05   7.1628e-04   6.3593e+04   3.5401e+05
  1.4059e+02   1.4354e+02   4.9647e+00  -1.0385e-03  -1.9563e-04   5.2966e-04   1.1630e+05   6.7988e+05
  1.7699e+02   1.7989e+02   5.1905e+00   5.0703e-04   9.7530e-05   3.2954e-04   3.0045e+05   1.7079e+06
  2.2281e+02   2.2233e+02   5.4021e+00  -3.5633e-04  -1.9065e-04   2.8697e-04   3.9618e+05   2.3204e+06
