## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8322e+00   1.0391e+00   6.4062e-01   6.9409e-04   1.3704e+06   1.3704e+06
  3.5313e+00   3.5674e+00   1.2699e+00   6.4095e-01   5.6062e-04   2.1006e+06   2.1006e+06
  4.4457e+00   4.4909e+00   1.5001e+00   6.4103e-01   4.5207e-04   3.2304e+06   3.2304e+06
  5.5968e+00   5.6537e+00   1.7304e+00   6.4089e-01   3.6525e-04   4.9488e+06   4.9488e+06
  7.0460e+00   7.1177e+00   1.9607e+00   6.4056e-01   2.9483e-04   7.5950e+06   7.5950e+06
  8.8703e+00   8.9635e+00   2.1912e+00   6.4071e-01   2.3754e-04   1.1700e+07   1.1700e+07
  1.1167e+01   1.1282e+01   2.4213e+00   6.4085e-01   1.9057e-04   1.8179e+07   1.8179e+07
  1.4059e+01   1.4202e+01   2.6514e+00   6.4067e-01   1.5375e-04   2.7928e+07   2.7928e+07
  1.7699e+01   1.7883e+01   2.8818e+00   6.4067e-01   1.2420e-04   4.2801e+07   4.2801e+07
  2.2281e+01   2.2507e+01   3.1119e+00   6.4105e-01   1.0011e-04   6.5869e+07   6.5869e+07
  2.8050e+01   2.8345e+01   3.3425e+00   6.4112e-01   8.0900e-05   1.0087e+08   1.0087e+08
  3.5313e+01   3.5674e+01   3.5724e+00   6.4079e-01   6.5272e-05   1.5496e+08   1.5496e+08
  4.4457e+01   4.4916e+01   3.8028e+00   6.4086e-01   5.2574e-05   2.3885e+08   2.3885e+08
  5.5968e+01   5.6544e+01   4.0330e+00   6.4129e-01   4.2456e-05   3.6627e+08   3.6627e+08
  7.0460e+01   7.1183e+01   4.2632e+00   6.4156e-01   3.4367e-05   5.5897e+08   5.5897e+08
  8.8703e+01   8.9600e+01   4.4933e+00   6.4151e-01   2.7916e-05   8.4715e+08   8.4715e+08
  1.1167e+02   1.1278e+02   4.7234e+00   6.4183e-01   2.2706e-05   1.2806e+09   1.2806e+09
  1.4059e+02   1.4197e+02   4.9536e+00   6.4218e-01   1.8535e-05   1.9217e+09   1.9217e+09
  1.7699e+02   1.7877e+02   5.1840e+00   6.4243e-01   1.5184e-05   2.8636e+09   2.8636e+09
  2.2281e+02   2.2463e+02   5.4124e+00   6.4258e-01   1.2588e-05   4.1661e+09   4.1661e+09
