## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8655e+00   1.0509e+00  -7.8130e-03   1.2411e-02   2.1000e+02   2.1000e+02
  3.5313e+00   3.5143e+00   1.2549e+00   1.2394e-02   1.5422e-02   1.3600e+02   1.3600e+02
  4.4457e+00   4.4865e+00   1.4990e+00   2.5685e-02   1.4308e-02   1.5800e+02   1.5800e+02
  5.5968e+00   5.5903e+00   1.7189e+00   2.4994e-02   1.5092e-02   1.4200e+02   1.4200e+02
  7.0460e+00   7.0140e+00   1.9460e+00   3.3676e-02   1.5536e-02   1.3400e+02   1.3400e+02
  8.8703e+00   9.0770e+00   2.2040e+00  -8.7007e-03   1.2470e-02   2.0800e+02   2.0800e+02
  1.1167e+01   1.1170e+01   2.4113e+00   1.1366e-02   1.0054e-02   3.2000e+02   3.2000e+02
  1.4059e+01   1.3936e+01   2.6331e+00   5.2705e-02   1.3405e-02   1.8000e+02   1.8000e+02
  1.7699e+01   1.6831e+01   2.8225e+00   1.1548e-01   2.2137e-02   6.6000e+01   6.6000e+01
  2.2281e+01   2.3213e+01   3.1432e+00   9.4507e-03   9.4395e-03   3.6300e+02   3.6300e+02
  2.8050e+01   2.8198e+01   3.3376e+00  -1.1427e-04   5.0706e-03   1.2580e+03   1.2580e+03
  3.5313e+01   3.6391e+01   3.5926e+00   9.2215e-03   5.7275e-03   9.8600e+02   9.8600e+02
  4.4457e+01   4.5062e+01   3.8066e+00  -8.5636e-03   2.9854e-03   3.6290e+03   3.6290e+03
  5.5968e+01   5.8032e+01   4.0585e+00   1.4727e-02   3.2432e-03   3.0750e+03   3.0750e+03
  7.0460e+01   7.0723e+01   4.2565e+00   9.2674e-03   1.5648e-03   1.3210e+04   1.3210e+04
  8.8703e+01   8.9261e+01   4.4884e+00  -2.4405e-03   1.6156e-03   1.2391e+04   1.2391e+04
  1.1167e+02   1.1104e+02   4.7080e+00  -5.5352e-03   9.1204e-04   3.8884e+04   3.8884e+04
  1.4059e+02   1.4531e+02   4.9770e+00  -4.2367e-05   6.5114e-04   7.6288e+04   7.6288e+04
  1.7699e+02   1.8054e+02   5.1941e+00  -2.2367e-03   3.1755e-04   3.2076e+05   3.2076e+05
  2.2281e+02   2.2484e+02   5.4133e+00  -2.6975e-04   2.4603e-04   5.3436e+05   5.3436e+05
