## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8310e+00   1.0387e+00   1.0330e-03   3.8032e-04   2.2383e+05   2.2383e+05
  3.5313e+00   3.5651e+00   1.2693e+00   1.6439e-06   3.1093e-04   3.3488e+05   3.3488e+05
  4.4457e+00   4.4881e+00   1.4995e+00   3.5442e-04   2.5474e-04   4.9890e+05   4.9890e+05
  5.5968e+00   5.6491e+00   1.7296e+00   6.2133e-04   2.0985e-04   7.3516e+05   7.3516e+05
  7.0460e+00   7.1120e+00   1.9598e+00   4.6750e-04   1.7260e-04   1.0868e+06   1.0868e+06
  8.8703e+00   8.9603e+00   2.1908e+00   4.8876e-04   1.4122e-04   1.6235e+06   1.6235e+06
  1.1167e+01   1.1269e+01   2.4201e+00   2.0101e-04   1.1483e-04   2.4555e+06   2.4555e+06
  1.4059e+01   1.4182e+01   2.6500e+00   2.1145e-04   9.6244e-05   3.4952e+06   3.4952e+06
  1.7699e+01   1.7875e+01   2.8814e+00   6.4291e-04   8.0136e-05   5.0415e+06   5.0415e+06
  2.2281e+01   2.2475e+01   3.1104e+00   6.9134e-04   6.5759e-05   7.4869e+06   7.4869e+06
  2.8050e+01   2.8285e+01   3.3403e+00   3.9543e-04   5.5839e-05   1.0384e+07   1.0384e+07
  3.5313e+01   3.5554e+01   3.5690e+00   4.1540e-04   4.8839e-05   1.3573e+07   1.3573e+07
  4.4457e+01   4.4710e+01   3.7982e+00   3.5850e-04   4.3673e-05   1.6974e+07   1.6974e+07
  5.5968e+01   5.6113e+01   4.0253e+00   7.1326e-05   4.1256e-05   1.9021e+07   1.9021e+07
  7.0460e+01   7.0582e+01   4.2547e+00   1.3836e-04   4.1595e-05   1.8712e+07   1.8712e+07
  8.8703e+01   8.9461e+01   4.4917e+00   8.0489e-04   3.9241e-05   2.1025e+07   2.1025e+07
  1.1167e+02   1.1341e+02   4.7289e+00   1.2519e-03   2.9851e-05   3.6333e+07   3.6333e+07
  1.4059e+02   1.4169e+02   4.9516e+00   6.4270e-04   2.2849e-05   6.2014e+07   6.2014e+07
  1.7699e+02   1.7838e+02   5.1818e+00   6.8265e-04   1.9946e-05   8.1376e+07   8.1376e+07
  2.2281e+02   2.2344e+02   5.4070e+00   9.0132e-04   1.7809e-05   1.0208e+08   1.0208e+08
