## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8324e+00   1.0392e+00   2.1654e-04  -1.4813e-04   1.7700e-04   1.0501e+06   1.0501e+06
  3.5313e+00   3.5678e+00   1.2700e+00  -2.1856e-04  -1.5263e-04   1.4272e-04   1.6152e+06   1.6152e+06
  4.4457e+00   4.4911e+00   1.5002e+00   1.5761e-04   1.4479e-04   1.1488e-04   2.4927e+06   2.4927e+06
  5.5968e+00   5.6544e+00   1.7305e+00   5.7486e-05   9.8872e-06   9.2379e-05   3.8551e+06   3.8551e+06
  7.0460e+00   7.1185e+00   1.9608e+00  -5.0313e-05   1.1764e-04   7.4407e-05   5.9424e+06   5.9424e+06
  8.8703e+00   8.9664e+00   2.1916e+00  -7.8697e-05  -5.0396e-05   5.9491e-05   9.2958e+06   9.2958e+06
  1.1167e+01   1.1284e+01   2.4214e+00   4.0841e-06  -2.3691e-05   4.7359e-05   1.4668e+07   1.4668e+07
  1.4059e+01   1.4204e+01   2.6516e+00  -1.1742e-04   7.3595e-05   3.8100e-05   2.2665e+07   2.2665e+07
  1.7699e+01   1.7884e+01   2.8819e+00   7.4098e-05  -8.0794e-05   3.0721e-05   3.4860e+07   3.4860e+07
  2.2281e+01   2.2504e+01   3.1117e+00  -6.0681e-05  -6.2347e-05   2.4761e-05   5.3660e+07   5.3660e+07
  2.8050e+01   2.8334e+01   3.3420e+00  -8.0472e-06  -1.6834e-05   2.0154e-05   8.0997e+07   8.0997e+07
  3.5313e+01   3.5645e+01   3.5716e+00   1.3702e-04   5.3593e-05   1.6529e-05   1.2042e+08   1.2042e+08
  4.4457e+01   4.4855e+01   3.8014e+00   1.2126e-04   8.9029e-05   1.3680e-05   1.7579e+08   1.7579e+08
  5.5968e+01   5.6469e+01   4.0317e+00   9.6322e-05   1.4723e-04   1.1421e-05   2.5220e+08   2.5220e+08
  7.0460e+01   7.1089e+01   4.2619e+00  -4.4155e-05   1.3222e-04   9.5734e-06   3.5896e+08   3.5896e+08
  8.8703e+01   8.9530e+01   4.4925e+00   7.7195e-05   9.7190e-05   7.9664e-06   5.1840e+08   5.1840e+08
  1.1167e+02   1.1271e+02   4.7228e+00   2.0745e-04   5.1479e-05   6.6007e-06   7.5510e+08   7.5510e+08
  1.4059e+02   1.4174e+02   4.9520e+00   2.1388e-04   1.2875e-05   5.5142e-06   1.0820e+09   1.0820e+09
  1.7699e+02   1.7815e+02   5.1806e+00   4.2313e-04  -8.7371e-05   4.8178e-06   1.4174e+09   1.4174e+09
  2.2281e+02   2.2413e+02   5.4102e+00   3.7466e-04  -3.0464e-04   4.3387e-06   1.7477e+09   1.7477e+09
