## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8320e+00   1.0391e+00   6.3917e-01   2.9974e-03   7.0970e+04   7.0970e+04
  3.5313e+00   3.5667e+00   1.2697e+00   6.4001e-01   2.4235e-03   1.0856e+05   1.0856e+05
  4.4457e+00   4.4899e+00   1.4999e+00   6.4001e-01   1.9745e-03   1.6354e+05   1.6354e+05
  5.5968e+00   5.6500e+00   1.7298e+00   6.3803e-01   1.6066e-03   2.4704e+05   2.4704e+05
  7.0460e+00   7.1167e+00   1.9605e+00   6.3872e-01   1.3060e-03   3.7381e+05   3.7381e+05
  8.8703e+00   8.9584e+00   2.1907e+00   6.3999e-01   1.0617e-03   5.6562e+05   5.6562e+05
  1.1167e+01   1.1276e+01   2.4207e+00   6.4035e-01   8.6155e-04   8.5901e+05   8.5901e+05
  1.4059e+01   1.4190e+01   2.6506e+00   6.3767e-01   7.0910e-04   1.2681e+06   1.2681e+06
  1.7699e+01   1.7865e+01   2.8808e+00   6.3780e-01   5.8427e-04   1.8678e+06   1.8678e+06
  2.2281e+01   2.2470e+01   3.1102e+00   6.3777e-01   4.8476e-04   2.7133e+06   2.7133e+06
  2.8050e+01   2.8252e+01   3.3391e+00   6.3854e-01   4.1903e-04   3.6314e+06   3.6314e+06
  3.5313e+01   3.5534e+01   3.5685e+00   6.3942e-01   3.7451e-04   4.5460e+06   4.5460e+06
  4.4457e+01   4.4729e+01   3.7986e+00   6.3820e-01   3.3694e-04   5.6164e+06   5.6164e+06
  5.5968e+01   5.6375e+01   4.0300e+00   6.3817e-01   2.9750e-04   7.2041e+06   7.2041e+06
  7.0460e+01   7.0994e+01   4.2605e+00   6.3820e-01   2.6315e-04   9.2080e+06   9.2080e+06
  8.8703e+01   8.9706e+01   4.4945e+00   6.3897e-01   2.1657e-04   1.3595e+07   1.3595e+07
  1.1167e+02   1.1281e+02   4.7237e+00   6.3988e-01   1.7258e-04   2.1408e+07   2.1408e+07
  1.4059e+02   1.4313e+02   4.9617e+00   6.4463e-01   1.2707e-04   3.9489e+07   3.9489e+07
  1.7699e+02   1.8055e+02   5.1940e+00   6.4471e-01   8.0032e-05   9.9546e+07   9.9546e+07
  2.2281e+02   2.2428e+02   5.4108e+00   6.3947e-01   5.7923e-05   1.9004e+08   1.9004e+08
