## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8323e+00   1.0392e+00  -8.7033e-04   2.6391e-04   4.6510e+05   4.6510e+05
  3.5313e+00   3.5683e+00   1.2702e+00  -8.3573e-04   2.1167e-04   7.2299e+05   7.2299e+05
  4.4457e+00   4.4922e+00   1.5005e+00  -1.3208e-03   1.6960e-04   1.1262e+06   1.1262e+06
  5.5968e+00   5.6558e+00   1.7308e+00  -1.0353e-03   1.3574e-04   1.7581e+06   1.7581e+06
  7.0460e+00   7.1197e+00   1.9610e+00  -1.0883e-03   1.0888e-04   2.7325e+06   2.7325e+06
  8.8703e+00   8.9657e+00   2.1915e+00  -1.0489e-03   8.7080e-05   4.2720e+06   4.2720e+06
  1.1167e+01   1.1284e+01   2.4215e+00  -9.2352e-04   6.9517e-05   6.7033e+06   6.7033e+06
  1.4059e+01   1.4205e+01   2.6517e+00  -8.1669e-04   5.5840e-05   1.0389e+07   1.0389e+07
  1.7699e+01   1.7887e+01   2.8821e+00  -8.0646e-04   4.4875e-05   1.6087e+07   1.6087e+07
  2.2281e+01   2.2509e+01   3.1119e+00  -8.5487e-04   3.6020e-05   2.4968e+07   2.4968e+07
  2.8050e+01   2.8344e+01   3.3424e+00  -7.5721e-04   2.9069e-05   3.8335e+07   3.8335e+07
  3.5313e+01   3.5676e+01   3.5725e+00  -5.5494e-04   2.3484e-05   5.8737e+07   5.8737e+07
  4.4457e+01   4.4909e+01   3.8026e+00  -4.4819e-04   1.8943e-05   9.0279e+07   9.0279e+07
  5.5968e+01   5.6513e+01   4.0325e+00  -4.2368e-04   1.5405e-05   1.3650e+08   1.3650e+08
  7.0460e+01   7.1122e+01   4.2624e+00  -3.3633e-04   1.2688e-05   2.0122e+08   2.0122e+08
  8.8703e+01   8.9434e+01   4.4915e+00  -2.5192e-04   1.0647e-05   2.8579e+08   2.8579e+08
  1.1167e+02   1.1263e+02   4.7221e+00  -5.6947e-05   9.0767e-06   3.9320e+08   3.9320e+08
  1.4059e+02   1.4188e+02   4.9530e+00   8.1455e-05   7.5918e-06   5.6205e+08   5.6205e+08
  1.7699e+02   1.7917e+02   5.1863e+00   3.3621e-04   6.0639e-06   8.8097e+08   8.8097e+08
  2.2281e+02   2.2528e+02   5.4153e+00   5.2082e-04   4.6814e-06   1.4782e+09   1.4782e+09
