## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8316e+00   1.0389e+00   1.0776e-03   6.5329e-04   7.6138e+04   7.6138e+04
  3.5313e+00   3.5647e+00   1.2692e+00   5.4141e-04   5.3557e-04   1.1329e+05   1.1329e+05
  4.4457e+00   4.4866e+00   1.4992e+00  -3.6521e-05   4.4090e-04   1.6716e+05   1.6716e+05
  5.5968e+00   5.6492e+00   1.7296e+00   9.0797e-04   3.6457e-04   2.4449e+05   2.4449e+05
  7.0460e+00   7.1096e+00   1.9595e+00   8.8618e-04   3.0237e-04   3.5543e+05   3.5543e+05
  8.8703e+00   8.9574e+00   2.1905e+00   3.8768e-04   2.4795e-04   5.2855e+05   5.2855e+05
  1.1167e+01   1.1275e+01   2.4206e+00   3.6702e-04   2.0056e-04   8.0786e+05   8.0786e+05
  1.4059e+01   1.4187e+01   2.6503e+00   8.4831e-04   1.6538e-04   1.1881e+06   1.1881e+06
  1.7699e+01   1.7865e+01   2.8809e+00   1.1023e-03   1.3790e-04   1.7089e+06   1.7089e+06
  2.2281e+01   2.2487e+01   3.1110e+00   9.5929e-04   1.1315e-04   2.5379e+06   2.5379e+06
  2.8050e+01   2.8322e+01   3.3416e+00   8.8352e-04   9.3774e-05   3.6953e+06   3.6953e+06
  3.5313e+01   3.5652e+01   3.5718e+00   7.4372e-04   7.6805e-05   5.5085e+06   5.5085e+06
  4.4457e+01   4.4906e+01   3.8026e+00   5.2973e-04   6.2270e-05   8.3803e+06   8.3803e+06
  5.5968e+01   5.6551e+01   4.0331e+00   1.9699e-04   5.0336e-05   1.2825e+07   1.2825e+07
  7.0460e+01   7.1165e+01   4.2630e+00   4.5975e-04   4.0885e-05   1.9439e+07   1.9439e+07
  8.8703e+01   8.9457e+01   4.4918e+00  -1.8963e-04   3.3918e-05   2.8246e+07   2.8246e+07
  1.1167e+02   1.1272e+02   4.7229e+00  -3.6372e-04   2.8606e-05   3.9711e+07   3.9711e+07
  1.4059e+02   1.4265e+02   4.9584e+00  -8.2451e-06   2.1623e-05   6.9501e+07   6.9501e+07
  1.7699e+02   1.7734e+02   5.1760e+00   2.5730e-04   1.8260e-05   9.7456e+07   9.7456e+07
  2.2281e+02   2.2452e+02   5.4119e+00  -6.8347e-07   1.7298e-05   1.0859e+08   1.0859e+08
