## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8323e+00   1.0392e+00   8.7020e-05  -2.2557e-04   6.8798e-04   6.7827e+04   6.7827e+04
  3.5313e+00   3.5669e+00   1.2698e+00  -1.0631e-03   3.2290e-04   5.5736e-04   1.0334e+05   1.0334e+05
  4.4457e+00   4.4924e+00   1.5005e+00   2.7740e-04   5.2057e-04   4.5033e-04   1.5831e+05   1.5831e+05
  5.5968e+00   5.6512e+00   1.7300e+00  -2.3245e-04  -2.5516e-05   3.6421e-04   2.4201e+05   2.4201e+05
  7.0460e+00   7.1161e+00   1.9605e+00  -2.1005e-04  -1.2916e-05   2.9626e-04   3.6577e+05   3.6577e+05
  8.8703e+00   8.9652e+00   2.1914e+00   2.6882e-05   1.6913e-04   2.3852e-04   5.6429e+05   5.6429e+05
  1.1167e+01   1.1274e+01   2.4206e+00  -3.4113e-04   1.6060e-05   1.9266e-04   8.6494e+05   8.6494e+05
  1.4059e+01   1.4190e+01   2.6506e+00  -3.3509e-04  -3.4470e-04   1.5918e-04   1.2670e+06   1.2670e+06
  1.7699e+01   1.7874e+01   2.8814e+00  -3.2898e-05  -3.9404e-05   1.3098e-04   1.8714e+06   1.8714e+06
  2.2281e+01   2.2468e+01   3.1101e+00  -5.2883e-04  -2.6854e-04   1.0825e-04   2.7397e+06   2.7397e+06
  2.8050e+01   2.8302e+01   3.3409e+00  -4.4692e-04  -2.0230e-04   9.1785e-05   3.8107e+06   3.8107e+06
  3.5313e+01   3.5572e+01   3.5695e+00  -9.6040e-04  -2.8133e-05   7.8541e-05   5.2042e+06   5.2042e+06
  4.4457e+01   4.4800e+01   3.8002e+00  -5.7722e-04  -2.4108e-06   6.7629e-05   7.0192e+06   7.0192e+06
  5.5968e+01   5.6398e+01   4.0304e+00  -4.7130e-04  -1.0415e-04   5.7952e-05   9.5592e+06   9.5592e+06
  7.0460e+01   7.1005e+01   4.2607e+00  -2.2017e-04  -3.0326e-04   5.0124e-05   1.2778e+07   1.2778e+07
  8.8703e+01   8.9665e+01   4.4940e+00  -3.1135e-04  -3.5963e-04   4.1278e-05   1.8841e+07   1.8841e+07
  1.1167e+02   1.1304e+02   4.7257e+00  -3.3974e-04   6.8225e-05   3.2163e-05   3.1034e+07   3.1034e+07
  1.4059e+02   1.4172e+02   4.9518e+00  -9.1880e-05   2.2493e-04   2.5706e-05   4.8582e+07   4.8582e+07
  1.7699e+02   1.7813e+02   5.1804e+00   5.6053e-05   9.5126e-05   2.3107e-05   6.0126e+07   6.0126e+07
  2.2281e+02   2.2493e+02   5.4136e+00   6.7240e-04   5.0041e-04   2.0128e-05   7.9239e+07   7.9239e+07
