## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 448992234.830491}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8321e+00   1.0391e+00   3.0931e-02   4.5545e-03   1.8828e+04   1.8263e+04   1.1665e+05
  3.5313e+00   3.5642e+00   1.2691e+00   3.0314e-02   3.6875e-03   2.8705e+04   2.7860e+04   1.7761e+05
  4.4457e+00   4.4887e+00   1.4997e+00   2.4560e-02   2.9761e-03   4.3822e+04   4.2771e+04   2.7082e+05
  5.5968e+00   5.6508e+00   1.7299e+00   1.3552e-02   2.4087e-03   6.6179e+04   6.5294e+04   4.1215e+05
  7.0460e+00   7.1154e+00   1.9604e+00  -7.1746e-03   1.9507e-03   9.8838e+04   9.9552e+04   6.1748e+05
  8.8703e+00   8.9637e+00   2.1913e+00  -4.6887e-03   1.5826e-03   1.5054e+05   1.5125e+05   9.3144e+05
  1.1167e+01   1.1277e+01   2.4209e+00  -1.2727e-02   1.2736e-03   2.3056e+05   2.3354e+05   1.4214e+06
  1.4059e+01   1.4196e+01   2.6511e+00  -2.2983e-02   1.0291e-03   3.4951e+05   3.5773e+05   2.1549e+06
  1.7699e+01   1.7890e+01   2.8823e+00  -2.3577e-02   8.2940e-04   5.3772e+05   5.5070e+05   3.3084e+06
  2.2281e+01   2.2512e+01   3.1121e+00  -1.8611e-02   6.6363e-04   8.4419e+05   8.6020e+05   5.1507e+06
  2.8050e+01   2.8358e+01   3.3429e+00  -2.5534e-02   5.3140e-04   1.3073e+06   1.3416e+06   8.0531e+06
  3.5313e+01   3.5696e+01   3.5731e+00  -5.9047e-03   4.2620e-04   2.0733e+06   2.0856e+06   1.2767e+07
  4.4457e+01   4.4917e+01   3.8028e+00   6.6765e-04   3.4139e-04   3.2526e+06   3.2504e+06   2.0044e+07
  5.5968e+01   5.6544e+01   4.0330e+00   7.3496e-03   2.7506e-04   5.0440e+06   5.0072e+06   3.1153e+07
  7.0460e+01   7.1203e+01   4.2635e+00   6.4007e-03   2.2181e-04   7.7490e+06   7.6998e+06   4.8161e+07
  8.8703e+01   8.9612e+01   4.4935e+00   4.4168e-03   1.7903e-04   1.1872e+07   1.1820e+07   7.4326e+07
  1.1167e+02   1.1285e+02   4.7240e+00   4.2134e-03   1.4410e-04   1.8320e+07   1.8243e+07   1.1474e+08
  1.4059e+02   1.4201e+02   4.9539e+00   3.5235e-03   1.1621e-04   2.8149e+07   2.8050e+07   1.7727e+08
  1.7699e+02   1.7870e+02   5.1837e+00   2.0104e-03   9.4693e-05   4.2334e+07   4.2249e+07   2.6829e+08
  2.2281e+02   2.2496e+02   5.4139e+00   1.2749e-02   7.8728e-05   6.1900e+07   6.1121e+07   3.9778e+08
