## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8302e+00   1.0384e+00   1.1082e-03   1.6394e-03   1.1918e+04   5.9916e+04
  3.5313e+00   3.5667e+00   1.2698e+00   1.0594e-03   1.3275e-03   1.8178e+04   9.1766e+04
  4.4457e+00   4.4894e+00   1.4998e+00   1.8445e-03   1.0739e-03   2.7775e+04   1.4137e+05
  5.5968e+00   5.6506e+00   1.7299e+00   1.2269e-03   8.7475e-04   4.1861e+04   2.1598e+05
  7.0460e+00   7.1173e+00   1.9606e+00   2.3681e-03   7.0160e-04   6.5074e+04   3.3293e+05
  8.8703e+00   8.9626e+00   2.1911e+00   1.6748e-03   5.6648e-04   9.9819e+04   5.1515e+05
  1.1167e+01   1.1283e+01   2.4214e+00   5.5136e-04   4.5442e-04   1.5512e+05   8.0035e+05
  1.4059e+01   1.4190e+01   2.6506e+00   2.3861e-04   3.7033e-04   2.3357e+05   1.2050e+06
  1.7699e+01   1.7871e+01   2.8812e+00   1.6457e-03   3.0381e-04   3.4704e+05   1.7980e+06
  2.2281e+01   2.2479e+01   3.1106e+00   1.9355e-03   2.5022e-04   5.1162e+05   2.6747e+06
  2.8050e+01   2.8316e+01   3.3415e+00   1.6465e-03   2.0907e-04   7.3284e+05   3.8748e+06
  3.5313e+01   3.5640e+01   3.5715e+00   1.7481e-03   1.7308e-04   1.0693e+06   5.6025e+06
  4.4457e+01   4.4859e+01   3.8015e+00   1.4996e-03   1.4405e-04   1.5437e+06   8.1201e+06
  5.5968e+01   5.6497e+01   4.0322e+00   9.6632e-04   1.1953e-04   2.2422e+06   1.1780e+07
  7.0460e+01   7.1026e+01   4.2611e+00   6.8124e-04   9.9751e-05   3.2192e+06   1.6808e+07
  8.8703e+01   8.9256e+01   4.4895e+00   6.6809e-04   8.7504e-05   4.1834e+06   2.1744e+07
  1.1167e+02   1.1223e+02   4.7185e+00   6.0952e-04   7.9685e-05   5.0446e+06   2.6120e+07
  1.4059e+02   1.4112e+02   4.9476e+00   9.8739e-04   7.3926e-05   5.8613e+06   3.0562e+07
  1.7699e+02   1.7745e+02   5.1766e+00   9.0140e-04   7.2065e-05   6.1679e+06   3.2531e+07
  2.2281e+02   2.2475e+02   5.4129e+00   8.0606e-04   6.4177e-05   7.7773e+06   4.0790e+07
