## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8290e+00   1.0380e+00  -4.0487e-04   2.5302e-03   5.1520e+03   2.7929e+04
  3.5313e+00   3.5723e+00   1.2714e+00  -9.3830e-04   2.0334e-03   7.9769e+03   4.3459e+04
  4.4457e+00   4.4933e+00   1.5007e+00  -1.6987e-04   1.6274e-03   1.2453e+04   6.7175e+04
  5.5968e+00   5.6559e+00   1.7309e+00  -4.8441e-04   1.3037e-03   1.9406e+04   1.0449e+05
  7.0460e+00   7.1178e+00   1.9607e+00  -1.4059e-03   1.0444e-03   3.0237e+04   1.6118e+05
  8.8703e+00   8.9675e+00   2.1917e+00   3.6961e-04   8.4550e-04   4.6136e+04   2.5016e+05
  1.1167e+01   1.1281e+01   2.4212e+00   2.4522e-04   6.7672e-04   7.2021e+04   3.9156e+05
  1.4059e+01   1.4197e+01   2.6511e+00   8.6224e-04   5.4632e-04   1.1050e+05   5.9532e+05
  1.7699e+01   1.7883e+01   2.8819e+00   4.0658e-04   4.4732e-04   1.6483e+05   8.9529e+05
  2.2281e+01   2.2487e+01   3.1110e+00  -8.1587e-05   3.6295e-04   2.5037e+05   1.3550e+06
  2.8050e+01   2.8316e+01   3.3415e+00  -5.0211e-04   2.9895e-04   3.6905e+05   2.0098e+06
  3.5313e+01   3.5640e+01   3.5715e+00  -1.0953e-03   2.4775e-04   5.3733e+05   2.9125e+06
  4.4457e+01   4.4873e+01   3.8019e+00  -1.0420e-03   2.0466e-04   7.8744e+05   4.2159e+06
  5.5968e+01   5.6445e+01   4.0313e+00  -6.0029e-04   1.7035e-04   1.1366e+06   5.9286e+06
  7.0460e+01   7.1030e+01   4.2611e+00  -1.7445e-06   1.4516e-04   1.5651e+06   8.1278e+06
  8.8703e+01   8.9369e+01   4.4908e+00  -3.3572e-04   1.2468e-04   2.1218e+06   1.1040e+07
  1.1167e+02   1.1285e+02   4.7240e+00   4.4712e-04   1.0487e-04   2.9992e+06   1.5839e+07
  1.4059e+02   1.4208e+02   4.9544e+00   1.7902e-03   8.3182e-05   4.7667e+06   2.5150e+07
  1.7699e+02   1.7886e+02   5.1845e+00   1.1056e-03   6.6258e-05   7.5128e+06   3.9857e+07
  2.2281e+02   2.2423e+02   5.4106e+00   2.3653e-04   5.4895e-05   1.0945e+07   5.7422e+07
