# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.029673400840240394e+00 1.725569110708391170e-03
3.531299999999999883e+00 1.024194866343662857e+00 1.783186442894873092e-03
4.445700000000000429e+00 1.020773062691884503e+00 1.785680550165677765e-03
5.596799999999999997e+00 1.016740269279852393e+00 1.852283404756085560e-03
7.046000000000000263e+00 1.013981371530296993e+00 1.808802890566164629e-03
8.870300000000000296e+00 1.010956282127366324e+00 1.924351702452077985e-03
1.116699999999999982e+01 1.008214567844799125e+00 1.886063402289230029e-03
1.405899999999999928e+01 1.006043142997930406e+00 1.958765331106042656e-03
1.769900000000000162e+01 1.004182919795499673e+00 1.986931933752297211e-03
2.228099999999999881e+01 1.002670799883215169e+00 1.906581402906095063e-03
2.805000000000000071e+01 1.001608882358030694e+00 1.821857329919750667e-03
3.531300000000000239e+01 1.000102902313320330e+00 1.919834956632639894e-03
4.445700000000000074e+01 9.987691722265116256e-01 1.916860781390764424e-03
5.596800000000000352e+01 9.979669268245224822e-01 1.865312384511936010e-03
7.045999999999999375e+01 9.988117493148697124e-01 1.767306877330046891e-03
8.870300000000000296e+01 9.995561484759577509e-01 1.687412844387770538e-03
1.116700000000000017e+02 1.000950053334886514e+00 1.669911663916288534e-03
1.405900000000000034e+02 1.001778385122074511e+00 1.583474970416037754e-03
1.769900000000000091e+02 1.001193525351929070e+00 1.437672103705853448e-03
2.228100000000000023e+02 9.987716351894334599e-01 1.467466292212896845e-03
