# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 9.447764809686154484e-04 1.107413843019713787e-04
3.531299999999999883e+00 9.131999187598206736e-04 8.823072245920205532e-05
4.445700000000000429e+00 6.308555700284219697e-04 8.772031772665509223e-05
5.596799999999999997e+00 4.572532402063712539e-04 6.788507254463852761e-05
7.046000000000000263e+00 2.891319780389870722e-04 5.876869920896832293e-05
8.870300000000000296e+00 2.327931281401699891e-04 4.092868851542093127e-05
1.116699999999999982e+01 2.733579536772905182e-04 3.446334649036103922e-05
1.405899999999999928e+01 1.809136668286283334e-04 2.955169093441351963e-05
1.769900000000000162e+01 1.592187810448755911e-04 2.485345120889225791e-05
2.228099999999999881e+01 1.400881615492381705e-04 1.811642747024063592e-05
2.805000000000000071e+01 1.189492978441459691e-04 1.766314208513188516e-05
3.531300000000000239e+01 1.069013347651717722e-04 1.785006840746191910e-05
4.445700000000000074e+01 8.318358676787873066e-05 1.438973687675337905e-05
5.596800000000000352e+01 6.897726896106335531e-05 1.468291115366010270e-05
7.045999999999999375e+01 6.045930723991024906e-05 1.316587990920336783e-05
8.870300000000000296e+01 4.976832668365187268e-05 1.219271884237713942e-05
1.116700000000000017e+02 2.910947932711122115e-05 1.107001344008598098e-05
1.405900000000000034e+02 2.650219988543571251e-05 9.975225888786805206e-06
1.769900000000000091e+02 1.695923216389983113e-05 8.719631628679978016e-06
2.228100000000000023e+02 6.320389761838588133e-06 8.938308374978243991e-06
