# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 9.710358623761323939e-04 1.139023352578975829e-04
3.531299999999999883e+00 9.342360012468641211e-04 9.006238865169273044e-05
4.445700000000000429e+00 6.436596164346312975e-04 8.913992550558607036e-05
5.596799999999999997e+00 4.648122595205477869e-04 6.886574792861114669e-05
7.046000000000000263e+00 2.933624793576033898e-04 5.934545868762329952e-05
8.870300000000000296e+00 2.352742682600560120e-04 4.127610762234592672e-05
1.116699999999999982e+01 2.753697016213708373e-04 3.477769481905315966e-05
1.405899999999999928e+01 1.820416729497492030e-04 2.969077291392243823e-05
1.769900000000000162e+01 1.598256137439460413e-04 2.498344342490773506e-05
2.228099999999999881e+01 1.404852939110751999e-04 1.819879266488279532e-05
2.805000000000000071e+01 1.191339258012529201e-04 1.768568003392783123e-05
3.531300000000000239e+01 1.069108168557412287e-04 1.787760046140759440e-05
4.445700000000000074e+01 8.310042019087479821e-05 1.436797193159641479e-05
5.596800000000000352e+01 6.887525096171586618e-05 1.465179327948078599e-05
7.045999999999999375e+01 6.039408014147553262e-05 1.313769184142567383e-05
8.870300000000000296e+01 4.974855031387765032e-05 1.216392305297725907e-05
1.116700000000000017e+02 2.912599532454556109e-05 1.108531558154152009e-05
1.405900000000000034e+02 2.649905999798204126e-05 1.001028479371196328e-05
1.769900000000000091e+02 1.692847477983622215e-05 8.707347332462539926e-06
2.228100000000000023e+02 6.394501898607897164e-06 8.918581954826616925e-06
