# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 1.965132756185323582e-04 1.131247287140575171e-04
3.531299999999999883e+00 1.972781794890569900e-05 1.161274646357964122e-04
4.445700000000000429e+00 2.440511637440202197e-05 7.877196697341185981e-05
5.596799999999999997e+00 1.078081173698172159e-04 7.059182549824896983e-05
7.046000000000000263e+00 1.909864316902231909e-05 4.780464448399867152e-05
8.870300000000000296e+00 1.773505619121361731e-05 5.083837035670473966e-05
1.116699999999999982e+01 1.176666546885732866e-05 3.745677860558985472e-05
1.405899999999999928e+01 5.288697521565027387e-05 3.207431382337916706e-05
1.769900000000000162e+01 1.244592421934713147e-05 2.148495790234274604e-05
2.228099999999999881e+01 1.259493191670578644e-05 1.728815331411949493e-05
2.805000000000000071e+01 -1.363468173466743158e-05 1.591961236949045102e-05
3.531300000000000239e+01 6.298029238862580301e-06 1.290095879268149162e-05
4.445700000000000074e+01 -5.347783987053191449e-06 1.132060692088349961e-05
5.596800000000000352e+01 -5.768574007341768022e-06 1.179415834494827050e-05
7.045999999999999375e+01 -9.235779241681606698e-06 8.169135219769862549e-06
8.870300000000000296e+01 -1.052300096456219820e-05 8.861774460124691410e-06
1.116700000000000017e+02 1.140901588655025100e-05 8.696207822635309076e-06
1.405900000000000034e+02 -2.667295602933567312e-06 6.914212127769551731e-06
1.769900000000000091e+02 -3.207527702002279053e-06 6.400813247866893401e-06
2.228100000000000023e+02 -1.103859285864538553e-05 5.657509625882083294e-06
