# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.534454280146089200e-01 7.777062756304005051e-03
3.531299999999999883e+00 6.625711302200906205e-01 7.635833591320299873e-03
4.445700000000000429e+00 6.568649123542134038e-01 6.834209068805287800e-03
5.596799999999999997e+00 6.579674696000842316e-01 6.308526484040196010e-03
7.046000000000000263e+00 6.619071225009853787e-01 5.959209150100461608e-03
8.870300000000000296e+00 6.590014477309846797e-01 5.794923301862972553e-03
1.116699999999999982e+01 6.596718348818239042e-01 5.755377701114972391e-03
1.405899999999999928e+01 6.577535049233957931e-01 5.497210405227054807e-03
1.769900000000000162e+01 6.588602375171884740e-01 5.439932454722536288e-03
2.228099999999999881e+01 6.626898131445715379e-01 5.304638961347009352e-03
2.805000000000000071e+01 6.611703724308717334e-01 5.196421266819949494e-03
3.531300000000000239e+01 6.605144778176582632e-01 4.954333412869974321e-03
4.445700000000000074e+01 6.605329015024062889e-01 4.771084660807627456e-03
5.596800000000000352e+01 6.594518274432478178e-01 4.659154655176737068e-03
7.045999999999999375e+01 6.586026403642392113e-01 4.477291920706522738e-03
8.870300000000000296e+01 6.600180701704098096e-01 4.090737826222771295e-03
1.116700000000000017e+02 6.600081274749755034e-01 3.519511825097925220e-03
1.405900000000000034e+02 6.604529675016898027e-01 2.908141224177803862e-03
1.769900000000000091e+02 6.597677973902196236e-01 2.650313385211661241e-03
2.228100000000000023e+02 6.583383976714610730e-01 2.604153158516074942e-03
