# 
# meanr   jkmean  jkerr
2.805000000000000160e+00 6.629540059779486239e-01 5.467423439899102289e-03
3.531299999999999883e+00 6.594841678500487081e-01 5.220191596357896119e-03
4.445700000000000429e+00 6.628015068763298823e-01 5.444302779133248192e-03
5.596799999999999997e+00 6.608048939706131497e-01 5.518596564549478958e-03
7.046000000000000263e+00 6.616383669544018131e-01 5.335186026351042450e-03
8.870300000000000296e+00 6.601170104132582095e-01 5.331192095780259814e-03
1.116699999999999982e+01 6.601858685834619545e-01 5.319980066942934897e-03
1.405899999999999928e+01 6.598043717558107479e-01 5.176076435262400716e-03
1.769900000000000162e+01 6.601477715070164232e-01 5.219813616095868129e-03
2.228099999999999881e+01 6.608678152524963823e-01 5.096092524637245956e-03
2.805000000000000071e+01 6.604622107183336643e-01 4.993390233740587977e-03
3.531300000000000239e+01 6.605315182261379814e-01 4.903908879995507245e-03
4.445700000000000074e+01 6.595601565761688434e-01 4.744746357715361879e-03
5.596800000000000352e+01 6.595701139557759163e-01 4.604986266506121140e-03
7.045999999999999375e+01 6.596143378301073668e-01 4.360291652328187641e-03
8.870300000000000296e+01 6.596899964207217915e-01 4.033549530233280014e-03
1.116700000000000017e+02 6.600362755963847805e-01 3.542680377551397138e-03
1.405900000000000034e+02 6.603543350192021544e-01 3.106007234029732698e-03
1.769900000000000091e+02 6.597820642742106001e-01 2.708056412778208234e-03
2.228100000000000023e+02 6.582809140046175234e-01 2.595749975148390915e-03
