## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8374e+00   1.0409e+00   6.8251e-01   1.9271e-01   1.6549e+01   1.2600e+02
  3.5313e+00   3.5712e+00   1.2712e+00   5.3277e-01   1.5926e-01   2.4228e+01   1.7100e+02
  4.4457e+00   4.4114e+00   1.4823e+00   4.7702e-01   1.3761e-01   3.2451e+01   2.4500e+02
  5.5968e+00   5.6541e+00   1.7304e+00   6.4226e-01   1.1116e-01   4.9732e+01   3.8000e+02
  7.0460e+00   7.1911e+00   1.9710e+00   6.1107e-01   8.4391e-02   8.6290e+01   6.2700e+02
  8.8703e+00   8.9216e+00   2.1867e+00   6.3992e-01   7.2442e-02   1.1710e+02   8.9700e+02
  1.1167e+01   1.1344e+01   2.4268e+00   5.7746e-01   6.3372e-02   1.5302e+02   1.2610e+03
  1.4059e+01   1.4176e+01   2.6497e+00   6.0443e-01   5.4356e-02   2.0800e+02   1.6190e+03
  1.7699e+01   1.7791e+01   2.8767e+00   6.0473e-01   4.6877e-02   2.7966e+02   2.2250e+03
  2.2281e+01   2.2329e+01   3.1037e+00   6.0627e-01   3.9371e-02   3.9646e+02   3.5600e+03
  2.8050e+01   2.8097e+01   3.3337e+00   5.9627e-01   3.4512e-02   5.1595e+02   4.4370e+03
  3.5313e+01   3.5176e+01   3.5584e+00   6.2053e-01   3.6135e-02   4.7065e+02   4.6390e+03
  4.4457e+01   4.4839e+01   3.8009e+00   5.9722e-01   3.6504e-02   4.6119e+02   5.3920e+03
  5.5968e+01   5.7260e+01   4.0456e+00   6.2094e-01   1.9194e-02   1.6682e+03   1.5727e+04
  7.0460e+01   7.0790e+01   4.2579e+00   6.3613e-01   1.2280e-02   4.0753e+03   3.8219e+04
  8.8703e+01   8.9552e+01   4.4929e+00   6.3181e-01   9.8457e-03   6.3396e+03   5.7927e+04
  1.1167e+02   1.1202e+02   4.7164e+00   6.3500e-01   8.3968e-03   8.7162e+03   8.5353e+04
  1.4059e+02   1.4152e+02   4.9504e+00   6.3703e-01   5.9227e-03   1.7519e+04   1.7314e+05
  1.7699e+02   1.7855e+02   5.1828e+00   6.3563e-01   4.8351e-03   2.6287e+04   2.6016e+05
  2.2281e+02   2.2539e+02   5.4157e+00   6.4004e-01   4.1104e-03   3.6374e+04   3.6944e+05
