## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8335e+00   1.0396e+00   6.7786e-04   8.9970e-04   4.0528e+04   2.4272e+05
  3.5313e+00   3.5670e+00   1.2698e+00   2.1713e-04   7.2274e-04   6.2804e+04   3.7574e+05
  4.4457e+00   4.4907e+00   1.5001e+00  -6.3316e-06   5.8161e-04   9.6980e+04   5.8036e+05
  5.5968e+00   5.6546e+00   1.7306e+00  -6.4569e-04   4.6806e-04   1.4974e+05   8.9119e+05
  7.0460e+00   7.1179e+00   1.9607e+00  -1.6950e-04   3.7779e-04   2.2986e+05   1.3726e+06
  8.8703e+00   8.9659e+00   2.1915e+00  -2.6245e-04   3.0281e-04   3.5777e+05   2.1340e+06
  1.1167e+01   1.1284e+01   2.4215e+00  -1.4457e-04   2.4188e-04   5.6072e+05   3.3468e+06
  1.4059e+01   1.4207e+01   2.6518e+00  -8.7265e-05   1.9387e-04   8.7287e+05   5.2367e+06
  1.7699e+01   1.7889e+01   2.8822e+00  -1.6726e-04   1.5531e-04   1.3600e+06   8.1776e+06
  2.2281e+01   2.2521e+01   3.1125e+00  -3.4747e-05   1.2318e-04   2.1621e+06   1.2926e+07
  2.8050e+01   2.8345e+01   3.3425e+00   8.2553e-05   9.8567e-05   3.3766e+06   2.0224e+07
  3.5313e+01   3.5690e+01   3.5729e+00   7.3728e-05   7.8612e-05   5.3085e+06   3.1745e+07
  4.4457e+01   4.4946e+01   3.8035e+00  -7.7086e-05   6.2664e-05   8.3543e+06   4.9755e+07
  5.5968e+01   5.6588e+01   4.0338e+00  -6.6835e-05   4.9617e-05   1.3326e+07   7.8872e+07
  7.0460e+01   7.1236e+01   4.2640e+00  -2.4258e-04   3.9325e-05   2.1214e+07   1.2521e+08
  8.8703e+01   8.9683e+01   4.4943e+00  -3.6721e-04   3.1122e-05   3.3869e+07   1.9993e+08
  1.1167e+02   1.1296e+02   4.7250e+00  -3.8844e-04   2.4550e-05   5.4431e+07   3.2220e+08
  1.4059e+02   1.4221e+02   4.9553e+00  -3.7797e-04   1.9177e-05   8.9208e+07   5.3032e+08
  1.7699e+02   1.7888e+02   5.1848e+00  -1.0984e-04   1.5105e-05   1.4379e+08   8.5661e+08
  2.2281e+02   2.2477e+02   5.4131e+00  -7.8865e-05   1.2461e-05   2.1129e+08   1.2581e+09
